sig_d,status,spot_open,strike,expiry,entry_price,exit_date,exit_value,exit_reason,hold_days,pnl_pct
2025-05-01,CLOSED,297.41,250.0,2026-05-15,58.0,2025-09-10,91.54,+100% profit,90,57.8
2025-05-08,CLOSED,309.76,255.0,2026-05-15,67.93,2025-10-17,137.8,+100% profit,112,102.9
2025-05-12,CLOSED,298.33,255.0,2026-05-15,67.93,2025-10-17,137.8,+100% profit,110,102.9
2025-05-13,CLOSED,299.02,255.0,2026-05-15,57.0,2025-10-17,137.8,+100% profit,109,141.8
2025-05-14,CLOSED,293.67,255.0,2026-05-15,51.9,2025-09-03,80.1,+100% profit,76,54.3
2025-05-16,CLOSED,292.62,255.0,2026-05-15,51.48,2025-09-03,80.1,+100% profit,74,55.6
2025-06-24,CLOSED,305.07,255.0,2026-05-15,67.5,2025-10-17,137.8,+100% profit,81,104.1
2025-06-25,CLOSED,305.31,255.0,2026-05-15,67.5,2025-10-17,137.8,+100% profit,80,104.1
2025-06-26,CLOSED,305.77,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,79,129.9
2025-06-27,CLOSED,300.03,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,78,129.9
2025-06-30,CLOSED,302.39,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,77,129.9
2025-07-03,CLOSED,307.05,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,74,129.9
2025-07-07,CLOSED,305.07,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,73,129.9
2025-07-08,CLOSED,306.3,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,72,129.9
2025-07-09,CLOSED,303.58,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,71,129.9
2025-07-15,CLOSED,307.73,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,67,129.9
2025-07-16,CLOSED,307.11,255.0,2026-05-15,59.94,2025-10-17,137.8,+100% profit,66,129.9
2025-07-17,CLOSED,305.5,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,65,124.4
2025-07-24,CLOSED,309.29,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,60,124.4
2025-07-25,CLOSED,307.82,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,59,124.4
2025-07-28,CLOSED,306.44,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,58,124.4
2025-07-29,CLOSED,305.8,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,57,124.4
2025-07-30,CLOSED,304.42,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,56,124.4
2025-08-11,CLOSED,308.62,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,48,124.4
2025-08-12,CLOSED,308.22,255.0,2026-05-15,61.4,2025-10-17,137.8,+100% profit,47,124.4
2025-09-10,CLOSED,335.73,370.0,2026-09-18,14.4,2025-09-29,21.8,+100% profit,8,51.4
2025-11-14,CLOSED,372.87,375.0,2026-05-15,24.99,2025-12-17,38.0,+100% profit,21,52.1
2025-11-17,CLOSED,374.04,375.0,2026-05-15,24.75,2025-12-17,38.0,+100% profit,20,53.5
2025-12-29,CLOSED,403.66,405.0,2026-05-15,23.0,2026-01-12,35.05,+100% profit,9,52.4
2025-12-30,CLOSED,403.6,405.0,2026-05-15,24.55,2026-01-20,44.58,+100% profit,13,81.6
2025-12-31,CLOSED,398.6,400.0,2026-05-15,23.2,2026-01-12,37.25,+100% profit,7,60.6
2026-01-30,CLOSED,466.25,465.0,2026-05-15,37.0,2026-02-02,15.18,-50% stop loss,1,-59.0
2026-02-02,CLOSED,434.01,435.0,2026-05-15,25.3,2026-02-03,43.13,+100% profit,1,70.5
2026-02-26,CLOSED,474.95,475.0,2026-05-15,27.2,2026-03-18,8.57,-50% stop loss,14,-68.5
2026-03-03,CLOSED,472.83,475.0,2026-05-15,23.95,2026-03-18,8.57,-50% stop loss,11,-64.2
2026-03-04,CLOSED,474.82,475.0,2026-05-15,27.5,2026-03-18,8.57,-50% stop loss,10,-68.8
2026-03-05,CLOSED,470.45,470.0,2026-05-15,26.5,2026-03-18,9.85,-50% stop loss,9,-62.8
2026-03-09,CLOSED,468.09,470.0,2026-05-15,25.47,2026-03-18,9.85,-50% stop loss,7,-61.3
2026-03-12,CLOSED,475.02,475.0,2026-05-15,23.64,2026-03-18,8.57,-50% stop loss,4,-63.7
2026-03-13,CLOSED,469.31,470.0,2026-05-15,22.68,2026-03-18,9.85,-50% stop loss,3,-56.6
2026-03-16,CLOSED,461.27,460.0,2026-05-15,22.83,2026-03-19,7.93,-50% stop loss,3,-65.3
2026-03-17,CLOSED,460.51,460.0,2026-05-15,21.15,2026-03-19,7.93,-50% stop loss,2,-62.5
2026-03-18,CLOSED,446.66,445.0,2026-05-15,21.15,2026-03-20,8.95,-50% stop loss,2,-57.7
2026-03-25,CLOSED,419.71,420.0,2026-05-15,22.11,2026-04-28,10.0,-50% stop loss,23,-54.8
