variant,n,WR%,sum%,mean%,max_win%,max_loss%,PF
GLD_A_single_90d,11,0.0,-686.2,-62.39,-54.8,-68.8,0.0
GLD_B_+5%_90d,11,18.2,-433.1,-39.37,69.0,-74.3,0.23
GLD_C_+10%_90d,11,18.2,-439.3,-39.94,69.0,-74.3,0.22
GLD_A_single_365d,40,70.0,2159.5,53.99,129.9,-68.8,3.9
GLD_B_+5%_365d,19,47.4,-81.3,-4.28,69.0,-74.3,0.87
GLD_C_+10%_365d,19,47.4,-70.9,-3.73,69.0,-74.3,0.89
SLV_A_single_90d,9,11.1,-356.3,-39.59,73.4,-60.0,0.17
SLV_B_+5%_90d,9,33.3,276.1,30.68,500.0,-62.0,1.79
SLV_C_+10%_90d,9,33.3,277.9,30.88,500.0,-65.8,1.78
SLV_A_single_365d,32,68.8,1437.5,44.92,175.0,-60.0,3.66
SLV_B_+5%_365d,31,64.5,2189.9,70.64,500.0,-93.6,3.89
SLV_C_+10%_365d,30,73.3,2038.9,67.96,500.0,-100.0,4.72
