pt,sl,n,WR,sum,mean,max_loss,scoreB,S_WR,S_mean,A_WR,A_mean
3.0,0.3,83,83.1,13360.0,160.97,-100.0,492.91,84.6,177.4,88.5,184.4
2.5,0.3,83,86.7,11851.0,142.79,-88.7,476.09,92.3,149.1,92.3,157.1
3.0,0.4,83,74.7,11741.0,141.46,-100.0,349.73,76.9,157.4,76.9,156.2
2.0,0.3,83,86.7,8010.0,96.51,-88.7,321.77,92.3,103.0,92.3,110.9
2.5,0.4,83,77.1,10090.0,121.57,-79.6,320.27,76.9,111.8,76.9,120.2
3.0,0.5,83,71.1,11130.0,134.1,-79.6,300.22,69.2,131.4,73.1,143.4
1.8,0.3,83,86.7,6848.0,82.51,-88.7,275.11,92.3,87.4,92.3,87.6
2.5,0.5,83,73.5,9522.0,114.72,-79.6,274.56,69.2,94.9,73.1,112.0
3.0,0.6,83,65.1,10128.0,122.02,-76.4,228.85,61.5,108.3,65.4,123.8
1.5,0.3,83,88.0,5433.0,65.46,-88.7,224.37,92.3,77.5,92.3,72.0
2.0,0.4,83,77.1,6629.0,79.87,-79.6,210.41,76.9,74.8,76.9,82.3
2.5,0.6,83,66.3,8380.0,100.96,-76.4,196.43,61.5,78.3,65.4,95.6
1.8,0.4,83,77.1,5647.0,68.03,-79.6,179.23,76.9,63.9,76.9,63.7
2.0,0.5,83,73.5,6177.0,74.43,-79.6,178.12,69.2,63.3,73.1,76.8
3.0,0.7,83,59.0,8946.0,107.78,-76.4,166.44,53.8,88.7,57.7,105.5
1.8,0.5,83,73.5,5195.0,62.59,-79.6,149.8,69.2,52.5,73.1,58.2
1.5,0.4,83,78.3,4387.0,52.85,-79.6,143.63,76.9,57.0,76.9,51.3
2.5,0.7,83,60.2,7325.0,88.25,-76.4,141.9,53.8,63.5,57.7,82.1
2.0,0.6,83,67.5,5510.0,66.39,-76.4,133.9,61.5,46.7,69.2,69.7
1.5,0.5,83,74.7,4078.0,49.14,-79.6,121.48,69.2,45.6,73.1,45.8
1.8,0.6,83,68.7,4770.0,57.47,-76.4,120.1,69.2,52.5,73.1,59.4
1.2,0.3,83,90.4,2608.0,31.43,-88.7,113.69,92.3,35.3,96.2,43.9
1.5,0.6,83,71.1,3931.0,47.36,-76.4,106.04,69.2,45.6,73.1,47.0
3.0,0.8,83,50.6,7711.0,92.91,-69.1,105.41,53.8,99.5,46.2,83.3
2.0,0.7,83,62.7,4987.0,60.08,-76.4,104.49,53.8,35.8,61.5,60.0
1.8,0.7,83,65.1,4487.0,54.06,-76.4,101.39,61.5,43.1,65.4,51.3
2.5,0.8,83,51.8,6216.0,74.89,-69.1,89.06,53.8,74.4,50.0,71.7
1.5,0.7,83,67.5,3648.0,43.95,-76.4,88.65,61.5,36.3,65.4,38.9
1.2,0.4,83,81.9,1926.0,23.2,-76.4,69.0,76.9,18.0,80.8,25.8
2.0,0.8,83,54.2,4336.0,52.24,-69.1,68.03,53.8,46.6,53.8,54.5
1.8,0.8,83,55.4,3745.0,45.12,-69.1,61.4,53.8,42.6,53.8,42.3
1.2,0.5,83,79.5,1808.0,21.78,-76.4,61.02,69.2,12.6,76.9,23.3
1.5,0.8,83,57.8,3094.0,37.28,-69.1,55.24,53.8,35.8,53.8,31.5
1.2,0.6,83,75.9,1628.0,19.61,-76.4,50.07,69.2,12.6,76.9,23.3
1.2,0.7,83,72.3,1518.0,18.29,-76.4,42.36,61.5,7.9,69.2,19.8
1.2,0.8,83,62.7,1249.0,15.05,-69.1,26.17,53.8,11.7,57.7,15.5
