src,tier,dst,horizon_d,n,WR,mean,sum,max_loss,max_gain
SLV,S,GLD,5,23,82.6,1.94,44.6,-4.5,7.5
SLV,S,GLD,10,23,82.6,3.72,85.5,-6.3,11.6
SLV,S,GLD,20,23,87.0,4.29,98.7,-7.8,13.1
SLV,A,GLD,5,32,59.4,1.13,36.0,-3.0,8.9
SLV,A,GLD,10,32,65.6,1.4,44.9,-4.0,9.2
SLV,A,GLD,20,32,81.2,3.46,110.8,-3.6,10.3
SLV,B,GLD,5,49,59.2,0.29,14.3,-6.8,5.9
SLV,B,GLD,10,49,73.5,1.16,57.0,-7.0,8.9
SLV,B,GLD,20,49,65.3,1.94,94.8,-4.3,7.7
SLV,S+A,GLD,5,55,69.1,1.47,80.6,-4.5,8.9
SLV,S+A,GLD,10,55,72.7,2.37,130.4,-6.3,11.6
SLV,S+A,GLD,20,55,83.6,3.81,209.5,-7.8,13.1
SLV,ALL,GLD,5,104,64.4,0.91,94.9,-6.8,8.9
SLV,ALL,GLD,10,104,73.1,1.8,187.4,-7.0,11.6
SLV,ALL,GLD,20,104,75.0,2.93,304.4,-7.8,13.1
SLV,no_filter,GLD,5,521,57.8,0.49,254.3,-13.3,11.7
SLV,no_filter,GLD,10,521,60.8,0.98,512.0,-15.8,16.5
SLV,no_filter,GLD,20,514,64.6,2.08,1066.6,-15.6,22.9
GLD,S,SLV,5,7,71.4,1.46,10.2,-1.9,4.3
GLD,S,SLV,10,7,57.1,0.15,1.1,-9.9,5.7
GLD,S,SLV,20,7,71.4,0.71,5.0,-8.3,6.3
GLD,A,SLV,5,10,100.0,2.61,26.1,0.3,5.2
GLD,A,SLV,10,10,80.0,3.63,36.3,-5.8,9.5
GLD,A,SLV,20,10,70.0,1.48,14.8,-13.0,8.6
GLD,B,SLV,5,49,63.3,1.52,74.7,-6.0,10.6
GLD,B,SLV,10,49,73.5,2.68,131.2,-11.6,9.8
GLD,B,SLV,20,49,73.5,3.2,156.8,-13.0,18.9
GLD,S+A,SLV,5,17,88.2,2.14,36.3,-1.9,5.2
GLD,S+A,SLV,10,17,70.6,2.2,37.3,-9.9,9.5
GLD,S+A,SLV,20,17,70.6,1.16,19.8,-13.0,8.6
GLD,ALL,SLV,5,66,69.7,1.68,111.0,-6.0,10.6
GLD,ALL,SLV,10,66,72.7,2.55,168.5,-11.6,9.8
GLD,ALL,SLV,20,66,72.7,2.67,176.5,-13.0,18.9
GLD,no_filter,SLV,5,627,55.7,0.9,565.3,-39.1,24.5
GLD,no_filter,SLV,10,622,56.1,1.66,1031.8,-38.2,38.2
GLD,no_filter,SLV,20,612,59.3,3.27,2002.3,-23.8,60.8
