label,n,WR%,sum%,mean%,max_loss%,max_win%,n_liq,PF,scoreB
lev=3,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=5,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
lev=10,83,86.7,1588.0,19.1,-100.0,56.1,1,6.88,63.78
lev=15,83,85.5,2129.0,25.6,-100.0,73.9,4,4.71,83.16
lev=20,83,84.3,2789.0,33.6,-100.0,98.6,6,4.74,105.89
tp=50,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
tp=100,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
tp=150,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
tp=200,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
tp=300,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
tp=500,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
tp=1000,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
sl=30,83,85.5,723.0,8.7,-30.0,24.6,0,5.07,28.24
sl=50,83,86.7,794.0,9.6,-50.0,28.0,0,6.88,31.89
sl=75,83,86.7,769.0,9.3,-75.0,28.0,0,5.81,30.89
sl=100,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
sl=150,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
sl=200,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
sl=300,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
hold=5,83,66.3,228.0,2.7,-40.4,21.0,0,2.15,5.34
hold=10,83,68.7,631.0,7.6,-39.3,28.0,0,4.17,15.89
hold=15,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
hold=20,83,91.6,904.0,10.9,-23.4,28.0,0,10.95,40.47
hold=30,83,92.8,915.0,11.0,-33.8,28.0,0,10.16,42.02
hold=45,82,96.3,972.0,11.9,-26.1,28.0,0,16.12,48.61
lev=3 tp=100 sl=50 hm=10,83,68.7,339.0,4.1,-50.0,16.8,0,3.13,8.53
lev=3 tp=100 sl=50 hm=15,83,86.7,456.0,5.5,-50.0,16.8,0,5.52,18.33
lev=3 tp=100 sl=50 hm=20,83,91.6,502.0,6.1,-50.0,16.8,0,6.31,22.49
lev=3 tp=100 sl=50 hm=30,83,92.8,519.0,6.3,-50.0,16.8,0,6.79,23.85
lev=3 tp=100 sl=100 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=100 sl=100 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=100 sl=100 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=100 sl=100 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=3 tp=100 sl=150 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=100 sl=150 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=100 sl=150 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=100 sl=150 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=3 tp=150 sl=50 hm=10,83,68.7,339.0,4.1,-50.0,16.8,0,3.13,8.53
lev=3 tp=150 sl=50 hm=15,83,86.7,456.0,5.5,-50.0,16.8,0,5.52,18.33
lev=3 tp=150 sl=50 hm=20,83,91.6,502.0,6.1,-50.0,16.8,0,6.31,22.49
lev=3 tp=150 sl=50 hm=30,83,92.8,519.0,6.3,-50.0,16.8,0,6.79,23.85
lev=3 tp=150 sl=100 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=150 sl=100 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=150 sl=100 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=150 sl=100 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=3 tp=150 sl=150 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=150 sl=150 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=150 sl=150 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=150 sl=150 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=3 tp=200 sl=50 hm=10,83,68.7,339.0,4.1,-50.0,16.8,0,3.13,8.53
lev=3 tp=200 sl=50 hm=15,83,86.7,456.0,5.5,-50.0,16.8,0,5.52,18.33
lev=3 tp=200 sl=50 hm=20,83,91.6,502.0,6.1,-50.0,16.8,0,6.31,22.49
lev=3 tp=200 sl=50 hm=30,83,92.8,519.0,6.3,-50.0,16.8,0,6.79,23.85
lev=3 tp=200 sl=100 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=200 sl=100 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=200 sl=100 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=200 sl=100 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=3 tp=200 sl=150 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=200 sl=150 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=200 sl=150 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=200 sl=150 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=3 tp=300 sl=50 hm=10,83,68.7,339.0,4.1,-50.0,16.8,0,3.13,8.53
lev=3 tp=300 sl=50 hm=15,83,86.7,456.0,5.5,-50.0,16.8,0,5.52,18.33
lev=3 tp=300 sl=50 hm=20,83,91.6,502.0,6.1,-50.0,16.8,0,6.31,22.49
lev=3 tp=300 sl=50 hm=30,83,92.8,519.0,6.3,-50.0,16.8,0,6.79,23.85
lev=3 tp=300 sl=100 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=300 sl=100 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=300 sl=100 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=300 sl=100 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=3 tp=300 sl=150 hm=10,83,68.7,379.0,4.6,-23.6,16.8,0,4.17,9.53
lev=3 tp=300 sl=150 hm=15,83,86.7,497.0,6.0,-12.9,16.8,0,9.21,19.96
lev=3 tp=300 sl=150 hm=20,83,91.6,542.0,6.5,-14.0,16.8,0,10.95,24.28
lev=3 tp=300 sl=150 hm=30,83,92.8,549.0,6.6,-20.3,16.8,0,10.16,25.21
lev=5 tp=100 sl=50 hm=10,83,68.7,598.0,7.2,-50.0,28.0,0,3.57,15.05
lev=5 tp=100 sl=50 hm=15,83,86.7,794.0,9.6,-50.0,28.0,0,6.88,31.89
lev=5 tp=100 sl=50 hm=20,83,91.6,871.0,10.5,-50.0,28.0,0,8.0,38.97
lev=5 tp=100 sl=50 hm=30,83,92.8,898.0,10.8,-50.0,28.0,0,8.74,41.28
lev=5 tp=100 sl=100 hm=10,83,68.7,631.0,7.6,-39.3,28.0,0,4.17,15.89
lev=5 tp=100 sl=100 hm=15,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
lev=5 tp=100 sl=100 hm=20,83,91.6,904.0,10.9,-23.4,28.0,0,10.95,40.47
lev=5 tp=100 sl=100 hm=30,83,92.8,915.0,11.0,-33.8,28.0,0,10.16,42.02
lev=5 tp=100 sl=150 hm=10,83,68.7,631.0,7.6,-39.3,28.0,0,4.17,15.89
lev=5 tp=100 sl=150 hm=15,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
lev=5 tp=100 sl=150 hm=20,83,91.6,904.0,10.9,-23.4,28.0,0,10.95,40.47
lev=5 tp=100 sl=150 hm=30,83,92.8,915.0,11.0,-33.8,28.0,0,10.16,42.02
lev=5 tp=150 sl=50 hm=10,83,68.7,598.0,7.2,-50.0,28.0,0,3.57,15.05
lev=5 tp=150 sl=50 hm=15,83,86.7,794.0,9.6,-50.0,28.0,0,6.88,31.89
lev=5 tp=150 sl=50 hm=20,83,91.6,871.0,10.5,-50.0,28.0,0,8.0,38.97
lev=5 tp=150 sl=50 hm=30,83,92.8,898.0,10.8,-50.0,28.0,0,8.74,41.28
lev=5 tp=150 sl=100 hm=10,83,68.7,631.0,7.6,-39.3,28.0,0,4.17,15.89
lev=5 tp=150 sl=100 hm=15,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
lev=5 tp=150 sl=100 hm=20,83,91.6,904.0,10.9,-23.4,28.0,0,10.95,40.47
lev=5 tp=150 sl=100 hm=30,83,92.8,915.0,11.0,-33.8,28.0,0,10.16,42.02
lev=5 tp=150 sl=150 hm=10,83,68.7,631.0,7.6,-39.3,28.0,0,4.17,15.89
lev=5 tp=150 sl=150 hm=15,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
lev=5 tp=150 sl=150 hm=20,83,91.6,904.0,10.9,-23.4,28.0,0,10.95,40.47
lev=5 tp=150 sl=150 hm=30,83,92.8,915.0,11.0,-33.8,28.0,0,10.16,42.02
lev=5 tp=200 sl=50 hm=10,83,68.7,598.0,7.2,-50.0,28.0,0,3.57,15.05
lev=5 tp=200 sl=50 hm=15,83,86.7,794.0,9.6,-50.0,28.0,0,6.88,31.89
lev=5 tp=200 sl=50 hm=20,83,91.6,871.0,10.5,-50.0,28.0,0,8.0,38.97
lev=5 tp=200 sl=50 hm=30,83,92.8,898.0,10.8,-50.0,28.0,0,8.74,41.28
lev=5 tp=200 sl=100 hm=10,83,68.7,631.0,7.6,-39.3,28.0,0,4.17,15.89
lev=5 tp=200 sl=100 hm=15,83,86.7,828.0,10.0,-21.6,28.0,0,9.21,33.26
