sig_d,entry,bp_low,regime,rv_pct,ma_trend,iv_reason_prod,blocked_in_prod,GVZ,r1d,r5d,r10d,r20d
2024-01-03,188.77,0.296,Bull,0.31,1.013,低IV 15 正常,False,14.9,0.29,-0.67,-0.74,0.87
2024-01-16,189.15,0.283,Bull,0.32,1.013,低IV 14 正常,False,13.6,-1.75,-0.63,-0.3,-2.44
2024-01-17,187.31,0.088,Bull,0.4,1.013,低IV 14 正常,False,13.5,0.03,-0.49,0.61,-1.54
2024-01-18,186.36,0.258,Bull,0.43,1.013,低IV 13 正常,False,13.1,0.84,0.42,2.17,-0.38
2024-01-24,188.33,0.251,Bull,0.49,1.008,低IV 13 正常,False,12.7,-0.63,0.06,0.09,-0.41
2024-04-22,216.35,0.111,Bull,1.0,1.059,低IV 18 正常,False,17.8,-0.61,-0.08,-0.53,3.79
2024-04-23,213.96,0.155,Bull,1.0,1.06,低IV 18 正常,False,17.7,0.32,-0.98,0.12,4.8
2024-04-30,213.38,0.274,Bull,0.87,1.056,低IV 17 正常,False,16.5,0.19,0.39,2.21,1.3
2024-05-23,218.78,0.286,Bull,0.98,1.018,低IV 16 正常,False,16.0,-1.31,-1.59,-3.28,-1.44
2024-06-07,215.07,0.12,Bull,1.0,1.008,低IV 17 正常,False,17.1,-0.71,0.31,0.26,1.62
2024-06-21,217.83,0.285,Bull,1.0,0.994,低IV 16 正常,False,15.9,-1.01,-1.29,0.17,1.82
2024-06-25,214.96,0.289,Bull,0.72,0.995,低IV 15 正常,False,14.9,-1.11,0.28,2.05,3.18
2024-06-26,212.39,0.181,Bull,0.74,0.994,低IV 15 正常,False,14.9,1.22,2.64,5.11,2.8
2024-06-27,214.71,0.265,Bull,0.75,0.994,低IV 15 正常,False,15.0,0.14,2.9,3.91,2.76
2024-06-28,215.64,0.242,Bull,0.74,0.994,低IV 15 正常,False,14.7,-0.03,1.18,3.8,2.17
2024-07-01,215.25,0.217,Bull,0.69,0.995,低IV 15 正常,False,14.9,0.14,1.54,6.06,3.38
2024-07-02,215.33,0.181,Bull,0.67,0.995,低IV 14 正常,False,14.4,1.24,1.87,5.53,5.21
2024-07-08,219.64,0.167,Bull,0.68,0.995,低IV 15 正常,False,15.1,-0.49,1.91,0.98,1.29
2024-07-09,218.57,0.144,Bull,0.67,0.996,低IV 15 正常,False,14.6,0.36,4.45,1.83,0.97
2024-07-10,220.14,0.258,Bull,0.63,0.997,低IV 15 正常,False,14.9,1.41,3.22,0.75,0.19
2024-07-18,227.71,0.271,Bull,0.78,1.006,低IV 16 正常,False,16.2,-2.63,-4.12,-0.85,-0.35
2024-07-19,221.52,0.004,Bull,0.9,1.006,低IV 16 正常,False,16.3,0.13,-0.4,1.72,4.73
