filter,n,WR5d,mean5d,sum5d,max_loss5d,WR10d,sum10d,WR20d,sum20d,scoreB5d,Q1_kept,may_kept
BASELINE (现 prod cfg),143,70.6,0.87,124.2,-6.8,76.9,262.8,86.7,492.0,2.15,11,0
rv<0.4,24,83.3,1.17,28.2,-2.0,75.0,48.0,91.7,81.8,2.63,0,0
rv<0.5,35,85.7,1.28,44.9,-2.0,80.0,72.6,85.7,114.5,3.37,0,0
rv<0.55,39,87.2,1.22,47.7,-2.0,82.1,78.8,87.2,125.9,3.43,0,0
rv<0.6,51,76.5,0.83,42.3,-2.8,74.5,74.4,88.2,147.5,1.92,0,0
rv<0.65,60,75.0,0.75,44.9,-6.8,73.3,79.6,86.7,166.9,1.73,2,0
rv<0.7,78,73.1,0.8,62.3,-6.8,76.9,121.8,89.7,245.8,1.86,4,0
rv<0.75,87,74.7,0.85,74.0,-6.8,79.3,157.5,90.8,285.1,2.13,5,0
ret_20d>-5%,134,70.9,0.82,110.1,-6.8,76.1,223.5,86.6,451.4,2.03,5,0
ret_20d>-3%,126,70.6,0.77,97.3,-6.8,76.2,206.4,87.3,443.8,1.87,4,0
ret_20d>-1%,107,69.2,0.8,85.1,-5.0,78.5,193.6,87.9,400.5,1.78,3,0
ret_20d>0%,89,66.3,0.76,67.3,-5.0,76.4,152.2,89.9,355.0,1.5,3,0
ret_20d>1%,71,63.4,0.66,46.6,-5.0,71.8,108.4,87.3,291.3,1.13,3,0
ret_20d>3%,44,59.1,0.3,13.4,-4.1,59.1,24.8,88.6,133.2,0.4,3,0
bp_low<=0.05,20,55.0,0.83,16.5,-6.8,65.0,61.7,80.0,66.3,0.76,9,0
bp_low<=0.1,30,66.7,1.45,43.6,-6.8,76.7,98.0,83.3,128.3,2.22,11,0
bp_low<=0.15,45,64.4,1.26,56.9,-6.8,75.6,115.9,86.7,172.4,2.01,11,0
bp_low<=0.2,65,72.3,1.35,87.7,-6.8,81.5,162.7,90.8,257.7,2.96,11,0
bp_low<=0.25,94,72.3,1.09,102.9,-6.8,79.8,208.7,90.4,345.9,2.61,11,0
bp_low<=0.3,143,70.6,0.87,124.2,-6.8,76.9,262.8,86.7,492.0,2.15,11,0
rv<0.75 AND ret>-3,82,75.6,0.84,69.3,-6.8,80.5,140.8,90.2,260.8,2.13,1,0
rv<0.70 AND ret>-3,74,73.0,0.71,52.9,-6.8,78.4,107.3,89.2,227.6,1.64,1,0
rv<0.65 AND ret>-3,58,74.1,0.6,34.7,-6.8,74.1,71.5,86.2,158.0,1.34,1,0
rv<0.60 AND ret>-3,50,76.0,0.79,39.6,-2.8,76.0,74.9,88.0,147.3,1.8,0,0
rv<0.75 AND ret>-1,72,73.6,0.87,62.8,-2.8,81.9,132.3,91.7,244.1,2.03,0,0
rv<0.70 AND ret>-1,65,70.8,0.75,49.0,-2.8,80.0,103.9,90.8,213.6,1.58,0,0
rv<0.65 AND ret>0,40,70.0,0.64,25.6,-2.8,72.5,47.1,92.5,122.7,1.16,0,0
rv<0.75 AND bp_low<=0.20,36,80.6,1.23,44.4,-6.8,86.1,94.3,94.4,143.9,2.89,5,0
rv<0.70 AND bp_low<=0.20,31,80.6,1.2,37.2,-6.8,83.9,67.6,93.5,116.6,2.7,4,0
ret>-3 AND bp_low<=0.20,55,74.5,1.37,75.1,-6.8,81.8,127.0,92.7,235.9,3.06,4,0
ret>0 AND bp_low<=0.20,38,73.7,1.62,61.6,-3.3,81.6,97.3,94.7,185.4,3.22,3,0
rv<0.75 AND ret>-3 AND bp<=0.20,32,84.4,1.32,42.4,-6.8,87.5,77.1,93.8,119.7,3.29,1,0
rv<0.70 AND ret>-3 AND bp<=0.20,28,82.1,1.09,30.5,-6.8,85.7,52.5,92.9,98.5,2.47,1,0
rv<0.75 AND ret>-1 AND bp<=0.20,26,84.6,1.53,39.8,-1.5,88.5,66.4,96.2,104.5,3.61,0,0
rv<0.75 AND ret>0 AND bp<=0.20,21,85.7,1.62,33.9,-1.5,85.7,53.8,100.0,93.7,3.67,0,0
