pt,sl,n,WR,sum,mean,max_loss,scoreB,S_WR,S_max_loss,A_WR,A_max_loss
70,200,82,92.7,1726.0,21.05,-85.2,79.91,100.0,7.3,100.0,2.2
70,150,82,92.7,1726.0,21.05,-85.2,79.91,100.0,7.3,100.0,2.2
70,100,82,92.7,1726.0,21.05,-85.2,79.91,100.0,7.3,100.0,2.2
70,75,82,92.7,1721.0,20.99,-78.9,79.68,100.0,7.3,100.0,2.2
70,50,83,91.6,1701.0,20.49,-61.6,76.13,100.0,7.3,100.0,2.2
60,200,82,93.9,1546.0,18.86,-85.2,73.48,100.0,7.3,100.0,1.0
60,150,82,93.9,1546.0,18.86,-85.2,73.48,100.0,7.3,100.0,1.0
60,100,82,93.9,1546.0,18.86,-85.2,73.48,100.0,7.3,100.0,1.0
60,75,82,93.9,1541.0,18.8,-78.9,73.24,100.0,7.3,100.0,1.0
60,50,83,92.8,1521.0,18.33,-61.6,69.88,100.0,7.3,100.0,1.0
50,200,81,95.1,1323.0,16.33,-85.2,65.04,100.0,7.3,100.0,1.0
50,150,81,95.1,1323.0,16.33,-85.2,65.04,100.0,7.3,100.0,1.0
50,100,81,95.1,1323.0,16.33,-85.2,65.04,100.0,7.3,100.0,1.0
50,75,81,95.1,1318.0,16.27,-78.9,64.79,100.0,7.3,100.0,1.0
50,50,82,93.9,1298.0,15.83,-61.6,61.66,100.0,7.3,100.0,1.0
40,200,81,95.1,1125.0,13.89,-85.2,55.32,100.0,7.3,100.0,1.0
40,150,81,95.1,1125.0,13.89,-85.2,55.32,100.0,7.3,100.0,1.0
40,100,81,95.1,1125.0,13.89,-85.2,55.32,100.0,7.3,100.0,1.0
40,75,81,95.1,1120.0,13.83,-78.9,55.07,100.0,7.3,100.0,1.0
40,50,82,93.9,1100.0,13.41,-61.6,52.27,100.0,7.3,100.0,1.0
30,200,81,95.1,910.0,11.24,-85.2,44.75,100.0,7.3,100.0,1.0
30,150,81,95.1,910.0,11.24,-85.2,44.75,100.0,7.3,100.0,1.0
30,100,81,95.1,910.0,11.24,-85.2,44.75,100.0,7.3,100.0,1.0
30,75,81,95.1,905.0,11.17,-78.9,44.49,100.0,7.3,100.0,1.0
30,50,82,93.9,885.0,10.79,-61.6,42.04,100.0,7.3,100.0,1.0
20,200,82,95.1,759.0,9.25,-85.2,37.0,100.0,2.4,100.0,1.0
20,150,82,95.1,759.0,9.25,-85.2,37.0,100.0,2.4,100.0,1.0
20,100,82,95.1,759.0,9.25,-85.2,37.0,100.0,2.4,100.0,1.0
20,75,82,95.1,754.0,9.19,-78.9,36.75,100.0,2.4,100.0,1.0
20,50,82,93.9,718.0,8.75,-61.6,34.1,100.0,2.4,100.0,1.0
