n_BC_kept,WR%,sum%,mean%,max_loss%,blocked_Q1,blocked_5_12_14,lever,value
214,69.2,195.7,0.91,-8.9,13,3,BASELINE,current
225,64.4,161.4,0.72,-8.9,13,3,smooth_window,20
232,65.1,177.1,0.76,-8.9,13,3,smooth_window,30
223,67.3,192.7,0.86,-8.9,13,3,smooth_window,45
214,69.2,195.7,0.91,-8.9,13,3,smooth_window,60
214,69.2,195.7,0.91,-8.9,13,3,bear_threshold,-0.05
214,69.2,195.7,0.91,-8.9,13,3,bear_threshold,-0.1
214,69.2,195.7,0.91,-8.9,13,3,bear_threshold,-0.15
214,69.2,195.7,0.91,-8.9,13,3,bear_threshold,-0.2
214,69.2,195.7,0.91,-8.9,13,3,ma_trend_threshold,0.975
214,69.2,195.7,0.91,-8.9,13,3,ma_trend_threshold,0.98
213,69.0,195.3,0.92,-8.9,13,3,ma_trend_threshold,0.985
209,68.4,191.6,0.92,-8.9,13,3,ma_trend_threshold,0.99
178,68.0,172.5,0.97,-8.9,13,3,ma_trend_threshold,0.995
212,69.3,193.5,0.91,-8.9,13,3,iv_filter_high_min,25
214,69.2,195.7,0.91,-8.9,13,3,iv_filter_high_min,26
214,69.2,195.7,0.91,-8.9,13,3,iv_filter_high_min,27
214,69.2,195.7,0.91,-8.9,13,3,iv_filter_high_min,28
