window,src,tier,dst,n,WR,mean,sum,max_loss,max_gain
10y,SLV,S,GLD,23,82.6,3.72,85.5,-6.3,11.6
10y,SLV,A,GLD,32,65.6,1.4,44.9,-4.0,9.2
10y,SLV,S+A,GLD,55,72.7,2.37,130.4,-6.3,11.6
10y,SLV,B,GLD,49,73.5,1.16,57.0,-7.0,8.9
10y,SLV,ALL,GLD,104,73.1,1.8,187.4,-7.0,11.6
10y,GLD,S,SLV,7,57.1,0.15,1.1,-9.9,5.7
10y,GLD,A,SLV,10,80.0,3.63,36.3,-5.8,9.5
10y,GLD,S+A,SLV,17,70.6,2.2,37.3,-9.9,9.5
10y,GLD,B,SLV,49,73.5,2.68,131.2,-11.6,9.8
10y,GLD,ALL,SLV,66,72.7,2.55,168.5,-11.6,9.8
5y,SLV,S,GLD,23,82.6,3.72,85.5,-6.3,11.6
5y,SLV,A,GLD,32,65.6,1.4,44.9,-4.0,9.2
5y,SLV,S+A,GLD,55,72.7,2.37,130.4,-6.3,11.6
5y,SLV,B,GLD,49,73.5,1.16,57.0,-7.0,8.9
5y,SLV,ALL,GLD,104,73.1,1.8,187.4,-7.0,11.6
5y,GLD,S,SLV,7,57.1,0.15,1.1,-9.9,5.7
5y,GLD,A,SLV,10,80.0,3.63,36.3,-5.8,9.5
5y,GLD,S+A,SLV,17,70.6,2.2,37.3,-9.9,9.5
5y,GLD,B,SLV,49,73.5,2.68,131.2,-11.6,9.8
5y,GLD,ALL,SLV,66,72.7,2.55,168.5,-11.6,9.8
3y,SLV,S,GLD,22,86.4,4.04,89.0,-6.3,11.6
3y,SLV,A,GLD,30,70.0,1.66,49.8,-4.0,9.2
3y,SLV,S+A,GLD,52,76.9,2.67,138.7,-6.3,11.6
3y,SLV,B,GLD,47,74.5,1.15,54.1,-7.0,8.9
3y,SLV,ALL,GLD,99,75.8,1.95,192.8,-7.0,11.6
3y,GLD,S,SLV,7,57.1,0.15,1.1,-9.9,5.7
3y,GLD,A,SLV,9,77.8,3.83,34.4,-5.8,9.5
3y,GLD,S+A,SLV,16,68.8,2.22,35.5,-9.9,9.5
3y,GLD,B,SLV,44,77.3,3.36,147.8,-11.6,9.8
3y,GLD,ALL,SLV,60,75.0,3.06,183.3,-11.6,9.8
1y,SLV,S,GLD,9,77.8,3.17,28.5,-6.3,8.6
1y,SLV,A,GLD,9,77.8,1.99,17.9,-4.0,4.4
1y,SLV,S+A,GLD,18,77.8,2.58,46.4,-6.3,8.6
1y,SLV,B,GLD,15,86.7,2.64,39.6,-2.0,8.9
1y,SLV,ALL,GLD,33,81.8,2.6,86.0,-6.3,8.9
1y,GLD,S,SLV,3,33.3,1.24,3.7,-1.4,5.7
1y,GLD,S+A,SLV,4,50.0,2.89,11.6,-1.4,7.9
1y,GLD,B,SLV,20,80.0,3.39,67.8,-3.4,9.5
1y,GLD,ALL,SLV,24,75.0,3.31,79.4,-3.4,9.5
