asset,signal,horizon,window,n,WR_rv_gt_iv,baseline_WR,uplift_pp,mean_rv_fwd,mean_iv_entry,mean_abs_r,mean_iv_change,WR_rv_lt_iv
GLD,STRADDLE,10,10y,525,21.7,28.5,-6.800000000000001,11.8,13.95,2.27,0.36,
GLD,STRADDLE,10,5y,231,18.6,30.5,-11.899999999999999,12.55,15.06,2.63,0.65,
GLD,STRADDLE,10,3y,113,10.6,33.3,-22.699999999999996,10.84,13.84,2.51,0.52,
GLD,STRADDLE,10,1y,25,20.0,28.6,-8.600000000000001,15.83,17.05,3.92,1.33,
GLD,SHORT_VOL,10,10y,611,,71.5,10.0,13.93,17.55,2.06,-0.41,81.5
GLD,SHORT_VOL,10,5y,287,,69.5,9.900000000000006,15.35,18.61,2.44,-0.25,79.4
GLD,SHORT_VOL,10,3y,165,,66.7,5.3999999999999915,17.38,19.51,2.55,-0.23,72.1
GLD,SHORT_VOL,10,1y,67,,71.4,13.699999999999989,20.74,24.62,3.1,-0.31,85.1
GLD,STRADDLE,20,10y,525,19.8,31.3,-11.5,12.21,13.95,3.32,0.86,
GLD,STRADDLE,20,5y,231,20.3,34.5,-14.2,13.07,15.06,3.45,0.95,
GLD,STRADDLE,20,3y,113,20.4,38.4,-18.0,11.91,13.84,3.62,1.11,
GLD,STRADDLE,20,1y,25,8.0,33.3,-25.299999999999997,14.83,17.05,6.18,0.87,
GLD,SHORT_VOL,20,10y,611,,68.7,14.599999999999994,14.26,17.55,3.01,-0.43,83.3
GLD,SHORT_VOL,20,5y,287,,65.5,11.900000000000006,16.05,18.61,3.66,0.01,77.4
GLD,SHORT_VOL,20,3y,165,,61.6,3.8999999999999986,18.12,19.51,3.85,-0.1,65.5
GLD,SHORT_VOL,20,1y,67,,66.7,13.899999999999991,22.73,24.62,5.24,0.29,80.6
SLV,STRADDLE,10,10y,100,98.0,94.0,4.0,25.4,16.31,5.19,0.53,
SLV,STRADDLE,10,5y,100,98.0,94.0,4.0,25.4,16.31,5.19,0.53,
SLV,STRADDLE,10,3y,68,97.1,94.4,2.6999999999999886,25.92,15.91,5.06,0.87,
SLV,STRADDLE,10,1y,17,94.1,94.1,0.0,24.12,16.9,7.05,1.18,
SLV,SHORT_VOL,10,10y,287,,6.0,1.2999999999999998,33.32,18.94,5.61,-0.07,7.3
SLV,SHORT_VOL,10,5y,287,,6.0,1.2999999999999998,33.32,18.94,5.61,-0.07,7.3
SLV,SHORT_VOL,10,3y,150,,5.6,-1.5999999999999996,39.9,20.13,6.22,0.1,4.0
SLV,SHORT_VOL,10,1y,43,,5.9,-3.6000000000000005,68.85,30.77,8.3,0.32,2.3
SLV,STRADDLE,20,10y,100,100.0,97.5,2.5,25.18,16.31,7.02,0.38,
SLV,STRADDLE,20,5y,100,100.0,97.5,2.5,25.18,16.31,7.02,0.38,
SLV,STRADDLE,20,3y,68,100.0,97.2,2.799999999999997,25.64,15.91,6.37,0.87,
SLV,STRADDLE,20,1y,17,100.0,98.7,1.2999999999999972,24.01,16.9,9.29,0.6,
SLV,SHORT_VOL,20,10y,287,,2.5,2.0,33.18,18.94,8.09,-0.26,4.5
SLV,SHORT_VOL,20,5y,287,,2.5,2.0,33.18,18.94,8.09,-0.26,4.5
SLV,SHORT_VOL,20,3y,150,,2.8,-1.4999999999999998,39.16,20.13,8.73,-0.33,1.3
SLV,SHORT_VOL,20,1y,43,,1.3,-1.3,62.81,30.77,15.16,-0.53,0.0
