asset,tier,window,n_signals,bc_best_pt,bc_n,bc_WR,bc_sum,bc_scoreB,sp_best_pt,sp_n,sp_WR,sp_sum,sp_scoreB
GLD,S+A,1y,4,3.0,4.0,100.0,817.6,328.99,90.0,4.0,100.0,29.2,11.77
GLD,B,1y,20,3.0,18.0,83.3,2874.4,326.52,50.0,18.0,100.0,260.2,42.56
GLD,B,6m,5,1.5,5.0,60.0,55.9,7.21,90.0,2.0,100.0,158.5,87.06
GLD,B,3m,5,1.5,5.0,60.0,55.9,7.21,90.0,2.0,100.0,158.5,87.06
GLD,ALL,1y,24,3.0,22.0,86.4,3692.0,392.47,50.0,22.0,100.0,287.8,41.02
GLD,ALL,6m,5,1.5,5.0,60.0,55.9,7.21,90.0,2.0,100.0,158.5,87.06
GLD,ALL,3m,5,1.5,5.0,60.0,55.9,7.21,90.0,2.0,100.0,158.5,87.06
SLV,S+A,1y,18,4.0,11.0,90.9,3406.0,635.88,30.0,5.0,100.0,241.3,86.46
SLV,S+A,6m,10,4.0,6.0,83.3,1724.3,388.35,30.0,5.0,100.0,241.3,86.46
SLV,S+A,3m,5,2.0,4.0,75.0,260.8,59.03,30.0,5.0,100.0,241.3,86.46
SLV,B,1y,15,4.0,8.0,87.5,2238.0,470.61,,0.0,,,0.0
SLV,ALL,1y,33,4.0,19.0,89.5,5644.0,712.41,30.0,5.0,100.0,241.3,86.46
SLV,ALL,6m,11,4.0,7.0,71.4,1649.6,250.03,30.0,5.0,100.0,241.3,86.46
SLV,ALL,3m,6,2.0,5.0,60.0,186.2,24.02,30.0,5.0,100.0,241.3,86.46
