asset,tier,window,n_signals,best_lev,n_closed,WR,mean,sum,max_loss,blowup_rate,scoreB
GLD,S,5y,7,20,7,100.0,158.61,1110.3,50.0,0.0,329.82
GLD,S,3y,7,20,7,100.0,158.61,1110.3,50.0,0.0,329.82
GLD,S,1y,3,20,3,100.0,149.99,450.0,50.0,0.0,207.93
GLD,A,5y,10,20,10,90.0,143.6,1436.0,-69.3,0.0,278.91
GLD,A,3y,9,20,9,100.0,167.26,1505.3,109.7,0.0,385.12
GLD,S+A,5y,17,20,17,94.1,149.78,2546.3,-69.3,0.0,383.49
GLD,S+A,3y,16,20,16,100.0,163.47,2615.6,50.0,0.0,463.16
GLD,S+A,1y,4,20,4,100.0,162.49,650.0,50.0,0.0,261.52
GLD,B,5y,49,20,49,79.6,117.39,5752.2,-100.0,16.3,290.92
GLD,B,3y,44,20,44,88.6,141.0,6204.2,-100.0,11.4,421.7
GLD,B,1y,20,20,20,85.0,129.72,2594.3,-100.0,15.0,285.33
GLD,B,6m,5,20,5,40.0,20.0,100.0,-100.0,60.0,5.73
GLD,B,3m,5,20,5,40.0,20.0,100.0,-100.0,60.0,5.73
GLD,ALL,5y,66,20,66,83.3,125.73,8298.5,-100.0,12.1,367.13
GLD,ALL,3y,60,20,60,91.7,147.0,8819.8,-100.0,8.3,507.77
GLD,ALL,1y,24,20,24,87.5,135.18,3244.3,-100.0,12.5,333.14
GLD,ALL,6m,5,20,5,40.0,20.0,100.0,-100.0,60.0,5.73
GLD,ALL,3m,5,20,5,40.0,20.0,100.0,-100.0,60.0,5.73
SLV,S,5y,23,5,22,81.8,19.21,422.7,-100.0,4.5,40.33
SLV,S,3y,22,15,22,68.2,35.41,779.1,-100.0,31.8,51.62
SLV,S,1y,9,5,8,87.5,17.45,139.6,-100.0,12.5,29.36
SLV,S,6m,6,5,5,80.0,13.56,67.8,-100.0,20.0,15.55
SLV,S,3m,5,3,4,75.0,4.28,17.1,-49.9,0.0,3.87
SLV,A,5y,32,10,32,96.9,54.61,1747.6,-67.4,0.0,179.21
SLV,A,3y,30,10,30,100.0,59.82,1794.6,21.4,0.0,205.42
SLV,A,1y,9,20,9,88.9,129.91,1169.2,-100.0,11.1,236.36
SLV,A,6m,4,10,4,100.0,122.89,491.6,93.9,0.0,197.78
SLV,S+A,5y,55,15,55,78.2,50.07,2754.1,-100.0,21.8,123.21
SLV,S+A,3y,52,15,52,80.8,56.22,2923.6,-100.0,19.2,145.62
SLV,S+A,1y,18,10,18,83.3,54.84,987.1,-100.0,16.7,112.13
SLV,S+A,6m,10,5,9,88.9,34.84,313.6,-100.0,11.1,63.39
SLV,S+A,3m,5,3,4,75.0,4.28,17.1,-49.9,0.0,3.87
SLV,B,5y,49,15,49,81.6,54.84,2687.1,-100.0,12.2,142.96
SLV,B,3y,47,15,47,85.1,61.43,2887.1,-100.0,8.5,172.24
SLV,B,1y,15,20,15,93.3,128.74,1931.1,-100.0,6.7,310.94
SLV,ALL,5y,104,15,104,79.8,52.32,5441.2,-100.0,17.3,155.09
SLV,ALL,3y,99,15,99,82.8,58.69,5810.7,-100.0,14.1,185.44
SLV,ALL,1y,33,15,33,81.8,81.71,2696.3,-100.0,18.2,192.88
SLV,ALL,6m,11,3,9,88.9,22.03,198.2,-49.9,0.0,40.07
SLV,ALL,3m,6,3,4,75.0,4.28,17.1,-49.9,0.0,3.87
