asset,signal,horizon,window,n,WR_abs_gt_BE,baseline_WR,uplift_pp,WR_max_gt_BE,mean_abs_r,mean_BE,mean_iv_entry,mean_iv_change,WR_abs_lt_strike,mean_strike_dist
GLD,STRADDLE,10,10y,525,34.1,23.4,10.700000000000003,54.5,2.27,2.78,13.95,0.36,,
GLD,STRADDLE,10,5y,231,37.2,25.1,12.100000000000001,57.1,2.63,3.0,15.06,0.65,,
GLD,STRADDLE,10,3y,113,36.3,26.8,9.499999999999996,56.6,2.51,2.76,13.84,0.52,,
GLD,STRADDLE,10,1y,25,48.0,26.1,21.9,68.0,3.92,3.4,17.05,1.33,,
GLD,SHORT_VOL,10,10y,611,,90.0,5.900000000000006,,2.06,,17.55,-0.41,95.9,5.59
GLD,SHORT_VOL,10,5y,287,,90.0,4.099999999999994,,2.44,,18.61,-0.25,94.1,5.93
GLD,SHORT_VOL,10,3y,165,,88.9,3.799999999999997,,2.55,,19.51,-0.23,92.7,6.22
GLD,SHORT_VOL,10,1y,67,,83.8,7.200000000000003,,3.1,,24.62,-0.31,91.0,7.85
GLD,STRADDLE,14,10y,0,,,,,,,,,,
GLD,STRADDLE,14,5y,0,,,,,,,,,,
GLD,STRADDLE,14,3y,0,,,,,,,,,,
GLD,STRADDLE,14,1y,0,,,,,,,,,,
GLD,SHORT_VOL,14,10y,0,,,,,,,,,,
GLD,SHORT_VOL,14,5y,0,,,,,,,,,,
GLD,SHORT_VOL,14,3y,0,,,,,,,,,,
GLD,SHORT_VOL,14,1y,0,,,,,,,,,,
GLD,STRADDLE,20,10y,525,34.9,26.2,8.7,58.1,3.32,3.93,13.95,0.86,,
GLD,STRADDLE,20,5y,231,30.7,25.8,4.899999999999999,52.8,3.45,4.24,15.06,0.95,,
GLD,STRADDLE,20,3y,113,34.5,27.8,6.699999999999999,54.0,3.62,3.9,13.84,1.11,,
GLD,STRADDLE,20,1y,25,52.0,32.9,19.1,56.0,6.18,4.8,17.05,0.87,,
GLD,SHORT_VOL,20,10y,611,,87.2,6.599999999999994,,3.01,,17.55,-0.43,93.8,7.91
GLD,SHORT_VOL,20,5y,287,,88.1,3.5,,3.66,,18.61,0.01,91.6,8.39
GLD,SHORT_VOL,20,3y,165,,86.6,3.700000000000003,,3.85,,19.51,-0.1,90.3,8.79
GLD,SHORT_VOL,20,1y,67,,80.1,6.5,,5.24,,24.62,0.29,86.6,11.1
SLV,STRADDLE,10,10y,100,69.0,61.8,7.200000000000003,97.0,5.19,3.25,16.31,0.53,,
SLV,STRADDLE,10,5y,100,69.0,61.8,7.200000000000003,97.0,5.19,3.25,16.31,0.53,,
SLV,STRADDLE,10,3y,68,72.1,62.8,9.299999999999997,95.6,5.06,3.17,15.91,0.87,,
SLV,STRADDLE,10,1y,17,94.1,70.6,23.5,100.0,7.05,3.37,16.9,1.18,,
SLV,SHORT_VOL,10,10y,287,,55.9,1.6000000000000014,,5.61,,18.94,-0.07,57.5,6.04
SLV,SHORT_VOL,10,5y,287,,55.9,1.6000000000000014,,5.61,,18.94,-0.07,57.5,6.04
SLV,SHORT_VOL,10,3y,150,,55.1,0.19999999999999574,,6.22,,20.13,0.1,55.3,6.42
SLV,SHORT_VOL,10,1y,43,,48.3,12.200000000000003,,8.3,,30.77,0.32,60.5,9.81
SLV,STRADDLE,14,10y,0,,,,,,,,,,
SLV,STRADDLE,14,5y,0,,,,,,,,,,
SLV,STRADDLE,14,3y,0,,,,,,,,,,
SLV,STRADDLE,14,1y,0,,,,,,,,,,
SLV,SHORT_VOL,14,10y,0,,,,,,,,,,
SLV,SHORT_VOL,14,5y,0,,,,,,,,,,
SLV,SHORT_VOL,14,3y,0,,,,,,,,,,
SLV,SHORT_VOL,14,1y,0,,,,,,,,,,
SLV,STRADDLE,20,10y,100,68.0,56.4,11.600000000000001,99.0,7.02,4.6,16.31,0.38,,
SLV,STRADDLE,20,5y,100,68.0,56.4,11.600000000000001,99.0,7.02,4.6,16.31,0.38,,
SLV,STRADDLE,20,3y,68,63.2,55.5,7.700000000000003,98.5,6.37,4.48,15.91,0.87,,
SLV,STRADDLE,20,1y,17,58.8,62.8,-4.0,100.0,9.29,4.76,16.9,0.6,,
SLV,SHORT_VOL,20,10y,287,,63.2,-6.400000000000006,,8.09,,18.94,-0.26,56.8,8.54
SLV,SHORT_VOL,20,5y,287,,63.2,-6.400000000000006,,8.09,,18.94,-0.26,56.8,8.54
SLV,SHORT_VOL,20,3y,150,,64.0,-6.0,,8.73,,20.13,-0.33,58.0,9.07
SLV,SHORT_VOL,20,1y,43,,53.7,-0.20000000000000284,,15.16,,30.77,-0.53,53.5,13.87
