slv_tier,bucket,strategy,n_signal,n,WR,mean,sum,max_loss,max_gain,scoreB
S,ALL (全部),BUY CALL,4,4,100.0,207.39,829.5,201.8,216.6,333.78
S,ALL (全部),SELL PUT,4,4,100.0,43.16,172.6,7.3,57.6,69.46
S,MID IV (22-25),BUY CALL,3,3,100.0,209.26,627.8,204.1,216.6,290.1
S,MID IV (22-25),SELL PUT,3,3,100.0,55.1,165.3,52.5,57.6,76.38
A,ALL (全部),BUY CALL,6,6,100.0,217.16,1302.9,201.8,234.8,422.57
A,ALL (全部),SELL PUT,6,6,83.3,5.06,30.3,0.0,10.7,6.83
A,LOW IV (<22),BUY CALL,5,5,100.0,218.54,1092.7,201.8,234.8,391.56
A,LOW IV (<22),SELL PUT,5,5,80.0,3.93,19.7,0.0,9.5,4.51
S+A,ALL (全部),BUY CALL,10,10,100.0,213.25,2132.5,201.8,234.8,511.35
S+A,ALL (全部),SELL PUT,10,10,90.0,20.3,203.0,0.0,57.6,39.42
S+A,MID IV (22-25),BUY CALL,4,4,100.0,209.51,838.1,204.1,216.6,337.2
S+A,MID IV (22-25),SELL PUT,4,4,100.0,43.99,176.0,10.7,57.6,70.8
S+A,LOW IV (<22),BUY CALL,6,6,100.0,215.74,1294.4,201.8,234.8,419.81
S+A,LOW IV (<22),SELL PUT,6,6,83.3,4.5,27.0,0.0,9.5,6.08
