asset,filter,n_folds,best_dist,avg_test_scoreB,avg_baseline_scoreB,uplift
GLD,buy_bp,8,"{0.25: 5, 0.2: 3}",3.01,1.54,1.47
GLD,rv_pctile_max,8,"{1.0: 4, 0.75: 1, 0.6: 1, 0.5: 1, 0.9: 1}",1.28,2.28,-1.0
GLD,ret_20d_min,8,"{-0.2: 6, -0.05: 2}",2.16,2.28,-0.12
GLD,ret_20d_max,8,"{-0.03: 4, 0.05: 2, 0.03: 2}",2.94,2.28,0.66
GLD,iv_filter_high_min,8,"{30: 4, 22: 3, 25: 1}",2.78,2.28,0.5
GLD,ma_trend_threshold,8,"{1.0: 5, 0.99: 2, 0.0: 1}",2.26,2.28,-0.02
SLV,buy_bp,2,{0.2: 2},9.22,8.52,0.7
SLV,rv_pctile_max,2,{1.0: 2},7.66,8.59,-0.92
SLV,ret_20d_min,2,"{-0.2: 1, -0.03: 1}",8.18,8.59,-0.4
SLV,ret_20d_max,2,{1.0: 2},8.59,8.59,0.0
SLV,iv_filter_high_min,2,"{22: 1, 26: 1}",7.0,8.59,-1.59
SLV,ma_trend_threshold,2,"{0.975: 1, 0.99: 1}",8.61,8.59,0.03
