test_year,train,best_v1,best_v2,train_n,train_WR,train_scoreB,test_n,test_WR,test_sum,test_scoreB,prod_v1,prod_v2,prod_n,prod_scoreB
2017,2013-2016,22,0.05,8,100.0,9.78,0,,,0.0,25.0,0.1,0,0.0
2018,2014-2017,22,0.05,8,100.0,9.78,0,,,0.0,25.0,0.1,0,0.0
2019,2015-2018,22,0.05,8,100.0,9.78,12,66.7,2.2,0.21,25.0,0.1,12,0.21
2020,2016-2019,22,0.05,20,80.0,3.68,11,81.8,25.6,3.88,25.0,0.1,14,3.98
2021,2017-2020,22,0.3,26,76.9,2.27,0,,,0.0,25.0,0.1,0,0.0
2022,2018-2021,22,0.3,26,76.9,2.27,1,0.0,-2.1,-0.0,25.0,0.1,1,-0.0
2023,2019-2022,22,0.3,27,74.1,1.91,7,28.6,-5.3,-0.13,25.0,0.1,7,-0.13
2024,2020-2023,22,0.3,22,63.6,1.19,29,93.1,78.6,7.99,25.0,0.1,29,7.99
2025,2021-2024,22,0.05,37,78.4,4.3,24,87.5,36.1,3.71,25.0,0.1,24,3.71
2026,2022-2025,22,0.05,61,82.0,4.88,5,60.0,15.2,1.96,25.0,0.1,5,1.96
