test_year,train,best_v1,best_v2,train_n,train_WR,train_scoreB,test_n,test_WR,test_sum,test_scoreB,prod_v1,prod_v2,prod_n,prod_scoreB
2017,2013-2016,0.75,0.03,8,100.0,9.78,0,,,0.0,0.75,0.03,0,0.0
2018,2014-2017,0.75,0.03,8,100.0,9.78,0,,,0.0,0.75,0.03,0,0.0
2019,2015-2018,0.75,0.03,8,100.0,9.78,12,66.7,2.2,0.21,0.75,0.03,12,0.21
2020,2016-2019,0.6,0.03,14,85.7,4.35,7,71.4,15.9,2.4,0.75,0.03,14,3.98
2021,2017-2020,1.0,-0.03,11,90.9,6.54,0,,,0.0,0.75,0.03,0,0.0
2022,2018-2021,1.0,-0.03,11,90.9,6.54,1,0.0,-1.8,-0.0,0.75,0.03,1,-0.0
2023,2019-2022,1.0,-0.03,12,83.3,4.93,0,,,0.0,0.75,0.03,7,-0.13
2024,2020-2023,1.0,-0.03,10,80.0,4.83,6,100.0,12.6,4.1,0.75,0.03,29,7.99
2025,2021-2024,0.75,0.03,37,78.4,4.3,24,87.5,36.1,3.71,0.75,0.03,24,3.71
2026,2022-2025,0.9,0.03,84,81.0,6.09,7,57.1,20.5,1.99,0.75,0.03,5,1.96
