test_year,train,best_value,train_n,train_WR,train_scoreB,test_n,test_WR,test_sum,test_mean,test_scoreB,test_max_loss,prod_value,prod_n,prod_WR,prod_scoreB
2017,2013-2016,0.35,10,100.0,10.03,0,,,,0.0,,0.3,0,,0.0
2018,2014-2017,0.35,10,100.0,10.03,0,,,,0.0,,0.3,0,,0.0
2019,2015-2018,0.35,10,100.0,10.03,15,60.0,-0.5,-0.03,-0.03,-3.0,0.3,12,66.7,0.21
2020,2016-2019,0.25,11,81.8,4.48,9,88.9,23.0,2.55,4.64,-0.2,0.3,14,85.7,3.98
2021,2017-2020,0.25,13,76.9,2.7,0,,,,0.0,,0.3,0,,0.0
2022,2018-2021,0.25,13,76.9,2.7,0,,,,0.0,,0.3,1,0.0,-0.0
2023,2019-2022,0.25,13,76.9,2.7,3,0.0,-3.6,-1.2,-0.0,-2.3,0.3,7,28.6,-0.13
2024,2020-2023,0.25,12,66.7,1.84,18,100.0,55.2,3.07,9.04,0.6,0.3,29,93.1,7.99
2025,2021-2024,0.25,21,85.7,5.58,18,94.4,35.5,1.97,5.18,-0.8,0.3,24,87.5,3.71
2026,2022-2025,0.2,22,95.5,6.92,5,60.0,15.2,3.05,1.96,-2.0,0.3,5,60.0,1.96
