test_year,train,best_value,train_n,train_WR,train_scoreB,test_n,test_WR,test_sum,test_mean,test_scoreB,test_max_loss,prod_value,prod_n,prod_WR,prod_scoreB
2017,2013-2016,0.03,8,100.0,9.78,0,,,,0.0,,0.03,0,,0.0
2018,2014-2017,0.03,8,100.0,9.78,0,,,,0.0,,0.03,0,,0.0
2019,2015-2018,0.03,8,100.0,9.78,12,66.7,2.2,0.18,0.21,-1.8,0.03,12,66.7,0.21
2020,2016-2019,0.05,26,80.8,4.23,16,87.5,31.1,1.95,4.22,-1.3,0.03,14,85.7,3.98
2021,2017-2020,0.05,28,78.6,2.47,0,,,,0.0,,0.03,0,,0.0
2022,2018-2021,0.05,28,78.6,2.47,1,0.0,-2.1,-2.06,-0.0,-2.1,0.03,1,0.0,-0.0
2023,2019-2022,0.05,29,75.9,2.11,7,28.6,-5.3,-0.76,-0.13,-3.5,0.03,7,28.6,-0.13
2024,2020-2023,0.1,28,67.9,1.49,44,84.1,79.0,1.8,4.84,-7.2,0.03,29,93.1,7.99
2025,2021-2024,0.03,37,78.4,4.3,24,87.5,36.1,1.5,3.71,-2.0,0.03,24,87.5,3.71
2026,2022-2025,0.03,61,82.0,4.88,5,60.0,15.2,3.05,1.96,-2.0,0.03,5,60.0,1.96
