test_year,train,best_value,train_n,train_WR,train_scoreB,test_n,test_WR,test_sum,test_mean,test_scoreB,test_max_loss,prod_value,prod_n,prod_WR,prod_scoreB
2017,2013-2016,0.75,8,100.0,9.78,0,,,,0.0,,0.75,0,,0.0
2018,2014-2017,0.75,8,100.0,9.78,0,,,,0.0,,0.75,0,,0.0
2019,2015-2018,0.75,8,100.0,9.78,12,66.7,2.2,0.18,0.21,-1.8,0.75,12,66.7,0.21
2020,2016-2019,0.6,14,85.7,4.35,7,71.4,15.9,2.26,2.4,-1.3,0.75,14,85.7,3.98
2021,2017-2020,1.0,51,70.6,3.55,0,,,,0.0,,0.75,0,,0.0
2022,2018-2021,1.0,51,70.6,3.55,3,0.0,-6.3,-2.11,-0.0,-2.4,0.75,1,0.0,-0.0
2023,2019-2022,1.0,54,66.7,2.82,7,28.6,-5.3,-0.76,-0.13,-3.5,0.75,7,28.6,-0.13
2024,2020-2023,1.0,34,64.7,2.52,54,83.3,114.4,2.12,5.9,-3.3,0.75,29,93.1,7.99
2025,2021-2024,0.75,37,78.4,4.3,24,87.5,36.1,1.5,3.71,-2.0,0.75,24,87.5,3.71
2026,2022-2025,0.9,84,81.0,6.09,7,57.1,20.5,2.93,1.99,-2.0,0.75,5,60.0,1.96
