feature,missing_rate,dtype
ret_1d,0.0007968127490039841,float64
ret_2d,0.0015936254980079682,float64
ret_3d,0.002390438247011952,float64
ret_5d,0.00398406374501992,float64
ret_10d,0.00796812749003984,float64
ret_20d,0.01593625498007968,float64
ret_60d,0.04780876494023904,float64
close_to_sma_5,0.0031872509960159364,float64
close_to_sma_10,0.007171314741035857,float64
close_to_sma_20,0.015139442231075698,float64
close_to_sma_60,0.04701195219123506,float64
close_to_sma_120,0.09482071713147411,float64
sma_20_slope,0.019123505976095617,float64
sma_60_slope,0.05099601593625498,float64
ma_alignment,0.0,int64
rsi_7,0.014342629482071713,float64
rsi_14,0.010358565737051793,float64
macd,0.0,float64
macd_signal,0.0,float64
macd_hist,0.0,float64
stoch_k_14,0.010358565737051793,float64
stoch_d_14,0.01195219123505976,float64
hv_5d,0.00398406374501992,float64
hv_60d,0.04780876494023904,float64
bb_width,0.015139442231075698,float64
bb_position,0.015139442231075698,float64
atr_14,0.010358565737051793,float64
atr_14_pct,0.010358565737051793,float64
hv_5d_change,0.00796812749003984,float64
daily_range_pct,0.0,float64
vol_ratio_5d,0.0031872509960159364,float64
vol_ratio_20d,0.015139442231075698,float64
vol_change_1d,0.0007968127490039841,float64
obv_direction,0.0007968127490039841,float64
price_vol_confirm,0.0,int64
gap_pct,0.0007968127490039841,float64
gap_up,0.0,int64
gap_down,0.0,int64
gc_gld_ratio,0.0,float64
gc_gld_ratio_zscore,0.04701195219123506,float64
dxy_ret_1d,0.0007968127490039841,float64
dxy_ret_5d,0.00398406374501992,float64
dxy_sma20_dev,0.015139442231075698,float64
vix_level,0.0,float64
vix_ret_1d,0.0007968127490039841,float64
vix_sma20_dev,0.015139442231075698,float64
copper_gold_ratio,0.0,float64
copper_gold_ratio_change,0.01593625498007968,float64
gold_silver_ratio,0.0,float64
us10y_level,0.0,float64
us10y_change_5d,0.00398406374501992,float64
crude_ret_5d,0.00398406374501992,float64
kbar_kmid,0.0,float64
kbar_klen,0.0,float64
kbar_kmid2,0.0,float64
kbar_kup,0.0,float64
kbar_kup2,0.0,float64
kbar_klow,0.0,float64
kbar_klow2,0.0,float64
kbar_ksft,0.0,float64
kbar_ksft2,0.0,float64
beta_5d,0.0031872509960159364,float64
rsqr_5d,0.0031872509960159364,float64
resi_5d,0.0031872509960159364,float64
rsv_5d,0.0031872509960159364,float64
qtlu_5d,0.0031872509960159364,float64
qtld_5d,0.0031872509960159364,float64
imax_5d,0.0031872509960159364,float64
imin_5d,0.0031872509960159364,float64
imxd_5d,0.0031872509960159364,float64
corr_5d,0.0031872509960159364,float64
cord_5d,0.00398406374501992,float64
cntp_5d,0.0031872509960159364,float64
cntn_5d,0.0031872509960159364,float64
cntd_5d,0.0031872509960159364,float64
sump_5d,0.00398406374501992,float64
sumn_5d,0.00398406374501992,float64
sumd_5d,0.00398406374501992,float64
vma_5d,0.0031872509960159364,float64
vstd_5d,0.0031872509960159364,float64
beta_10d,0.007171314741035857,float64
rsqr_10d,0.007171314741035857,float64
resi_10d,0.007171314741035857,float64
rsv_10d,0.007171314741035857,float64
qtlu_10d,0.007171314741035857,float64
qtld_10d,0.007171314741035857,float64
imax_10d,0.007171314741035857,float64
imin_10d,0.007171314741035857,float64
imxd_10d,0.007171314741035857,float64
corr_10d,0.007171314741035857,float64
