Year,Global_Total
2002,-462.6658205270011
2003,-724.1297704410495
2004,-521.1709808212466
2005,-973.5700119918608
2006,-602.3111887402606
2007,-751.5061306660776
2008,-101.60972329630155
2009,675.9190851411921
2010,159.07235857893926
2011,377.0978197254326
2012,450.47120660144225
2013,404.09950405916345
2014,318.7667625526467
2015,913.442437170913
2016,104.26319621539078
2017,522.9144220803171
2018,472.47406285216954
2019,706.9127181914165
2020,295.31482645462034
2021,350.3340388484844
2022,542.8099763527537
2023,374.1092820579768
2024,397.6591789175387
2025,420.7153718328053
