Date,cb_global_net_tonnes,cb_global_3m_rolling,cb_global_6m_rolling,cb_global_12m_rolling,cb_global_yoy_change,cb_key_banks_net_tonnes,cb_china_net_tonnes
2002-01-01,-50.63418527982342,,,,,1.3745253018857713,0.0
2002-02-01,-35.23076602128882,,,,,-3.186744971473477,-0.6220646325154342
2002-03-01,-48.250123015314074,-134.11507431642633,,,,3.096151342385117,0.6220646325154342
2002-04-01,-94.81880317180892,-178.29969220841184,,,,0.9684475834356584,0.0
2002-05-01,-92.94465989738434,-236.01358608450732,,,,-41.48220230487357,0.0
2002-06-01,-33.65407748331561,-221.41754055250888,-355.5326148689352,,,-0.6156799251806685,-0.6220646325154342
2002-07-01,-31.737535811239624,-158.33627319193957,-336.6359654003514,,,1.2191115102819128,0.6220646325154342
2002-08-01,-25.82468930899689,-91.21630260355212,-327.2298886880595,,,0.012389299488041834,0.0
2002-09-01,-19.346020468430407,-76.90824558866692,-298.3257861411758,,,-1.1154358188797833,-0.6220646325154342
2002-10-01,-26.09009167933226,-71.26080145675957,-229.59707464869916,,,0.9902271501798916,0.6220646325154342
2002-11-01,-33.492835115182814,-78.92894726294548,-170.1452498664976,,,-0.2423486072036192,-0.6220646325154342
2002-12-01,29.357966725116185,-30.22496006939889,-107.13320565806582,-462.665820527001,,98.84565205079008,99.84137351870865
2003-01-01,-70.25478033773578,-74.38964872780241,-145.65045018456198,-482.28641558491336,-19.62059505791236,-0.3527253952517761,0.0
2003-02-01,-98.49818654971875,-139.39500016233836,-218.32394742528385,-545.5538361133433,-63.26742052842993,-1.067743186055494,0.0
2003-03-01,-1.632389466284324,-170.38535635373884,-200.61031642313773,-498.93610256431356,46.61773354902975,0.526495854562225,0.0
2003-04-01,-106.40091019091905,-206.53148620692212,-280.92113493472453,-510.5182095834237,-11.582107019110126,0.2054924005458592,0.0
2003-05-01,-24.375147661253745,-132.40844731845712,-271.80344748079546,-441.94869734729303,68.56951223613059,0.37706997147896126,0.0
2003-06-01,-52.944786544318504,-183.7208443964913,-354.10620075023013,-461.23940640829596,-19.290709061002893,18.287490686481288,0.0
2003-07-01,-36.401510390065845,-113.7214445956381,-320.25293080256023,-465.9033809871222,-4.66397457882622,-17.799572579386023,0.0
2003-08-01,-74.5348324222499,-163.88112935663426,-296.2895766750913,-514.6135241003752,-48.71014311325301,-0.015327517038351668,0.0
2003-09-01,-69.96138979987664,-180.89773261219239,-364.61857700868364,-565.2288934318215,-50.61536933144623,0.4876061086774931,0.0
2003-10-01,-15.263788697340559,-159.7600109194671,-273.48145551510515,-554.4025904498297,10.826302981991702,0.37250636062921244,0.0
2003-11-01,-101.75366725795368,-186.97884575517088,-350.85997511180517,-622.6634225926006,-68.26083214277087,1.1359079140723447,0.0
2003-12-01,-72.10838112333268,-189.12583707862692,-370.02356969081933,-724.1297704410495,-101.46634784844886,1.2753457016643361,0.0
2004-01-01,-39.776024379181365,-213.6380727604677,-373.3980836799348,-693.651014482495,30.478755958554416,0.2692326521775409,0.0
2004-02-01,-21.409220350590285,-133.29362585310432,-320.2724716082752,-616.5620482833666,77.08896619912846,-0.3053747122441041,0.0
2004-03-01,-43.786772472543774,-104.97201720231543,-294.09785428094233,-658.716431289626,-42.15438300625945,0.2466569377457101,0.0
2004-04-01,-16.79328411784311,-81.98927694097718,-295.62734970144487,-569.1088052165501,89.60762607307593,0.3306169833084452,0.0
2004-05-01,-65.30096305446574,-125.88101964485263,-259.17464549795693,-610.034620609762,-40.92581539321199,0.5307475270971294,0.0
2004-06-01,5.908449156129948,-76.18579801617891,-181.15781521849433,-551.1813849093136,58.85323570044845,0.13887509504400894,0.0
2004-07-01,-36.77520906298293,-96.16772296131873,-178.1569999022959,-551.5550835822307,-0.3736986729170866,-0.6503309797085602,0.0
2004-08-01,-40.035551460903875,-70.90231136775685,-196.7833310126095,-517.0558026208847,34.49928096134603,0.2784188946928159,0.0
2004-09-01,-6.923399573224065,-83.73416009711087,-159.91995811328977,-454.0178123942321,63.037990226652575,0.3091207116447433,0.0
2004-10-01,-67.60492786489172,-114.56387889901967,-210.7316018603384,-506.3589515617833,-52.34113916755116,-2.143999555919587,0.0
2004-11-01,-80.99028215199132,-155.51860959010713,-226.42092095786398,-485.595566455821,20.763385105962357,0.42885309943361644,0.0
2004-12-01,-107.07634937510714,-255.6715593919902,-339.4057194891011,-520.5635347075954,-34.967968251774465,0.3058422755121074,0.0
2005-01-01,-73.80512023621607,-261.87175176331453,-376.43563066233423,-554.5926305646301,-34.029095857034704,-0.1011050045080959,0.0
2005-02-01,-101.01243745703682,-281.89390706836,-437.41251665846715,-634.1958476710765,-79.60321710644654,0.11476510840067407,0.0
2005-03-01,-96.70563127867615,-271.523188971929,-527.1947483639192,-687.114706477209,-52.91885880613238,0.40771014897732066,0.0
2005-04-01,-76.42014379876953,-274.13821253448253,-536.0099642977971,-746.7415661581355,-59.626859680926415,0.43433566607788143,0.0
2005-05-01,-54.20207830273442,-227.32785338018013,-509.2217604485401,-735.6426814064041,11.098884751731319,0.2047684986401692,0.0
2005-06-01,-143.43542957656888,-274.05765167807283,-545.5808406500018,-884.986560139103,-149.34387873269884,7.599003763493202,0.0
2005-07-01,-65.53266435719951,-263.1701722365028,-537.3083847709853,-913.7440154333195,-28.757455294216577,-7.497736711148952,0.0
2005-08-01,-51.388356320739604,-260.356450254508,-487.6843036346881,-925.0968202931552,-11.352804859835729,0.3191497309579809,0.0
