Date,NonComm_Long,NonComm_Short,NonComm_Spread,Comm_Long,Comm_Short,Open_Interest,OI_Change,NonComm_Long_Change,NonComm_Short_Change,Comm_Long_Change,Comm_Short_Change,NonComm_Net,Comm_Net
2006-01-03,180688,29726,34714,51741,239049,325524,5409.0,1364.0,4924.0,-1819.0,-3745.0,150962,-187308
2006-01-10,184408,38602,37270,59932,240141,343419,17895.0,3720.0,8876.0,8191.0,1092.0,145806,-180209
2006-01-17,191650,43171,38494,66156,248147,361704,18285.0,7242.0,4569.0,6224.0,8006.0,148479,-181991
2006-01-24,188928,46079,39439,63004,238009,356080,-5624.0,-2722.0,2908.0,-3152.0,-10138.0,142849,-175005
2006-01-31,187406,48156,33268,63986,231268,339645,-16435.0,-1522.0,2077.0,982.0,-6741.0,139250,-167282
2006-02-07,180971,53622,37576,67909,222347,341727,2082.0,-6435.0,5466.0,3923.0,-8921.0,127349,-154438
2006-02-14,167910,48996,44084,71566,220771,338143,-3584.0,-13061.0,-4626.0,3657.0,-1576.0,118914,-149205
2006-02-21,163886,45202,45150,69049,219002,333410,-4733.0,-4024.0,-3794.0,-2517.0,-1769.0,118684,-149953
2006-02-28,169963,42593,46246,69177,226038,339859,6449.0,6077.0,-2609.0,128.0,7036.0,127370,-156861
2006-03-07,167144,46255,46172,71482,221233,338325,-1534.0,-2819.0,3662.0,2305.0,-4805.0,120889,-149751
2006-03-14,143697,47757,44644,78233,208569,322360,-15965.0,-23447.0,1502.0,6751.0,-12664.0,95940,-130336
2006-03-21,149946,45682,42567,72080,207882,319618,-2742.0,6249.0,-2075.0,-6153.0,-687.0,104264,-135802
2006-03-28,163056,42470,43446,66109,215821,334042,14424.0,13110.0,-3212.0,-5971.0,7939.0,120586,-149712
2006-04-04,178040,45832,38347,60499,231414,342721,8679.0,14984.0,3362.0,-5610.0,15593.0,132208,-170915
2006-04-11,175000,50668,45969,62155,228104,342632,-89.0,-3040.0,4836.0,1656.0,-3310.0,124332,-165949
2006-04-18,177870,47576,54648,58342,230866,353757,11125.0,2870.0,-3092.0,-3813.0,2762.0,130294,-172524
2006-04-25,175346,45968,55672,62298,229153,354108,351.0,-2524.0,-1608.0,3956.0,-1713.0,129378,-166855
2006-05-02,177709,47421,58171,60931,232651,359539,5431.0,2363.0,1453.0,-1367.0,3498.0,130288,-171720
2006-05-09,175709,41773,54158,61535,232868,351933,-7606.0,-2000.0,-5648.0,604.0,217.0,133936,-171333
2006-05-16,163773,37616,53321,62710,225860,338720,-13213.0,-11936.0,-4157.0,1175.0,-7008.0,126157,-163150
2006-05-23,144247,33149,54996,61059,210062,316143,-22577.0,-19526.0,-4467.0,-1651.0,-15798.0,111098,-149003
2006-05-30,133475,31988,49314,78942,218251,314494,-1649.0,-10772.0,-1161.0,17883.0,8189.0,101487,-139309
2006-06-06,134649,38753,48951,51439,180808,283161,-31333.0,1174.0,6765.0,-27503.0,-37443.0,95896,-129369
2006-06-13,138766,39479,51884,51699,186100,288981,5820.0,4117.0,726.0,260.0,5292.0,99287,-134401
2006-06-20,131864,41643,52900,58813,181084,288148,-833.0,-6902.0,2164.0,7114.0,-5016.0,90221,-122271
