Date,NonComm_Long,NonComm_Short,NonComm_Spread,Comm_Long,Comm_Short,Open_Interest,NonComm_Net,Comm_Net
2026-03-24,33938,9265,25160,29511,69799,113164,24673,-40288
2026-03-31,33463,9559,27349,29892,68749,115169,23904,-38857
2026-04-07,32810,9393,29209,28211,67126,115138,23417,-38915
2026-04-14,32391,8829,26489,32338,72471,116983,23562,-40133
2026-04-21,33233,9513,23619,32357,73342,115462,23720,-40985
2026-04-28,31314,7154,14823,29676,70128,101275,24160,-40452
2026-05-05,32965,9073,12062,26094,66629,96932,23892,-40535
2026-05-12,36569,10458,12088,27341,70987,103800,26111,-43646
2026-05-19,34591,9920,12629,27108,69776,100751,24671,-42668
2026-06-02,33933,10007,14997,25782,68443,102809,23926,-42661
