Date,Event
1947-07-20,GDP
1947-08-17,GDP
1947-11-16,GDP
1948-02-23,GDP
1948-05-19,GDP
1948-07-11,GDP
1948-08-23,GDP
1948-11-20,GDP
1949-02-22,GDP
1949-03-24,CPI
1949-04-22,CPI
1949-05-16,GDP
1949-05-23,CPI
1949-06-24,CPI
1949-07-22,CPI
1949-07-27,GDP
1949-08-16,GDP
1949-08-26,CPI
1949-09-28,CPI
1949-10-28,CPI
1949-11-22,GDP
1949-11-28,CPI
1949-12-28,CPI
1950-01-26,CPI
1950-02-20,GDP
1950-02-24,CPI
1950-03-25,CPI
1950-04-22,CPI
1950-05-15,GDP
1950-05-20,CPI
1950-06-25,CPI
1950-07-22,CPI
1950-07-23,GDP
1950-08-14,GDP
1950-08-23,CPI
1950-09-24,CPI
1950-10-24,CPI
1950-11-20,GDP
1950-11-29,CPI
1950-12-23,CPI
1951-01-25,CPI
1951-02-14,GDP
1951-03-02,CPI
1951-03-24,CPI
1951-04-20,CPI
1951-05-20,GDP
1951-05-23,CPI
1951-06-27,CPI
1951-07-23,GDP
1951-07-26,CPI
1951-08-19,GDP
1951-08-24,CPI
1951-09-21,CPI
1951-10-25,CPI
1951-11-18,GDP
1951-11-23,CPI
1951-12-21,CPI
1952-01-25,CPI
1952-02-17,GDP
1952-02-26,CPI
1952-03-21,CPI
1952-04-22,CPI
1952-05-18,GDP
1952-05-22,CPI
1952-06-19,CPI
1952-07-22,GDP
1952-07-24,CPI
1952-08-17,GDP
1952-08-21,CPI
1952-09-19,CPI
1952-10-24,CPI
1952-11-17,GDP
1952-11-21,CPI
1952-12-19,CPI
1953-01-16,CPI
1953-02-24,GDP
1953-02-27,CPI
1953-03-26,CPI
1953-04-22,CPI
1953-05-17,GDP
1953-05-22,CPI
1953-06-23,CPI
1953-07-21,GDP
1953-07-22,CPI
1953-08-09,GDP
1953-08-26,CPI
1953-09-23,CPI
1953-10-28,CPI
1953-11-12,GDP
1953-11-25,CPI
1953-12-23,CPI
1954-01-22,CPI
1954-02-17,GDP
1954-02-26,CPI
1954-03-24,CPI
1954-04-22,CPI
1954-05-13,GDP
1954-05-21,CPI
1954-06-22,CPI
1954-07-13,GDP
1954-07-23,CPI
1954-08-15,GDP
1954-08-20,CPI
1954-09-24,CPI
1954-10-26,CPI
1954-11-14,GDP
1954-11-24,CPI
1954-12-22,CPI
1955-01-21,CPI
1955-02-14,GDP
1955-02-25,CPI
1955-03-23,CPI
1955-04-22,CPI
1955-05-06,ISM_Manufacturing
1955-05-06,NFP
1955-05-15,GDP
1955-05-20,CPI
1955-06-07,ISM_Manufacturing
1955-06-07,NFP
1955-06-23,CPI
1955-07-08,NFP
1955-07-08,ISM_Manufacturing
1955-07-11,GDP
1955-07-26,CPI
1955-08-09,ISM_Manufacturing
1955-08-09,NFP
1955-08-14,GDP
1955-08-23,CPI
1955-09-07,NFP
1955-09-07,ISM_Manufacturing
1955-09-23,CPI
1955-10-10,NFP
1955-10-10,ISM_Manufacturing
1955-10-21,CPI
1955-11-07,NFP
1955-11-07,ISM_Manufacturing
1955-11-13,GDP
1955-11-22,CPI
1955-12-07,NFP
1955-12-07,ISM_Manufacturing
1955-12-21,CPI
1956-01-09,NFP
1956-01-09,ISM_Manufacturing
1956-01-20,CPI
1956-01-22,GDP
1956-02-07,NFP
1956-02-07,ISM_Manufacturing
1956-02-14,GDP
1956-02-24,CPI
1956-03-09,NFP
1956-03-09,ISM_Manufacturing
1956-03-26,CPI
1956-04-09,ISM_Manufacturing
1956-04-09,NFP
1956-04-25,CPI
1956-05-08,ISM_Manufacturing
1956-05-08,NFP
1956-05-09,GDP
1956-05-24,CPI
1956-06-08,NFP
1956-06-08,ISM_Manufacturing
1956-06-26,CPI
1956-07-09,NFP
1956-07-09,ISM_Manufacturing
1956-07-15,GDP
1956-07-24,CPI
1956-08-08,ISM_Manufacturing
1956-08-08,NFP
1956-08-13,GDP
1956-08-24,CPI
1956-09-10,ISM_Manufacturing
1956-09-10,NFP
1956-09-21,CPI
1956-10-09,NFP
1956-10-09,ISM_Manufacturing
1956-10-25,CPI
1956-11-08,NFP
1956-11-08,ISM_Manufacturing
1956-11-12,GDP
1956-11-26,CPI
1956-12-10,NFP
1956-12-10,ISM_Manufacturing
1956-12-21,CPI
1957-01-11,NFP
1957-01-11,ISM_Manufacturing
1957-01-25,CPI
1957-02-08,NFP
1957-02-08,ISM_Manufacturing
1957-02-17,GDP
1957-02-21,CPI
1957-03-12,ISM_Manufacturing
1957-03-12,NFP
1957-03-22,CPI
1957-04-09,ISM_Manufacturing
1957-04-09,NFP
1957-04-23,CPI
1957-05-10,ISM_Manufacturing
1957-05-10,NFP
1957-05-14,GDP
1957-05-24,CPI
1957-06-11,ISM_Manufacturing
1957-06-11,NFP
1957-06-25,CPI
1957-07-11,ISM_Manufacturing
1957-07-11,NFP
1957-07-11,GDP
1957-07-24,CPI
1957-08-12,NFP
1957-08-12,ISM_Manufacturing
1957-08-15,GDP
1957-08-22,CPI
1957-09-10,ISM_Manufacturing
1957-09-10,NFP
1957-09-24,CPI
1957-10-10,ISM_Manufacturing
1957-10-10,NFP
1957-10-25,CPI
1957-11-08,NFP
1957-11-08,ISM_Manufacturing
1957-11-22,CPI
1957-11-24,GDP
1957-12-11,NFP
1957-12-11,ISM_Manufacturing
1957-12-20,CPI
1958-01-14,NFP
1958-01-14,ISM_Manufacturing
1958-01-21,CPI
1958-02-11,NFP
1958-02-11,ISM_Manufacturing
1958-02-23,GDP
1958-02-25,CPI
1958-03-11,NFP
1958-03-11,ISM_Manufacturing
1958-03-21,CPI
1958-04-08,NFP
1958-04-08,ISM_Manufacturing
1958-04-23,CPI
1958-05-08,ISM_Manufacturing
1958-05-08,NFP
1958-05-13,GDP
1958-05-22,CPI
1958-06-06,NFP
1958-06-06,ISM_Manufacturing
1958-06-24,CPI
1958-07-08,ISM_Manufacturing
1958-07-08,NFP
1958-07-16,GDP
1958-07-23,CPI
1958-08-08,ISM_Manufacturing
1958-08-08,NFP
1958-08-19,GDP
1958-08-22,CPI
1958-09-09,NFP
1958-09-09,ISM_Manufacturing
1958-09-19,CPI
1958-10-10,NFP
1958-10-10,ISM_Manufacturing
1958-10-23,CPI
1958-11-10,NFP
1958-11-10,ISM_Manufacturing
1958-11-20,GDP
1958-11-25,CPI
1958-12-10,NFP
1958-12-10,ISM_Manufacturing
1958-12-21,GDP
1958-12-23,CPI
1959-01-13,ISM_Manufacturing
1959-01-13,NFP
1959-01-23,CPI
1959-02-10,NFP
1959-02-10,ISM_Manufacturing
1959-02-19,GDP
1959-02-20,CPI
1959-03-11,NFP
1959-03-11,ISM_Manufacturing
1959-03-25,CPI
1959-04-07,NFP
1959-04-07,ISM_Manufacturing
1959-04-22,CPI
1959-05-11,NFP
1959-05-11,ISM_Manufacturing
1959-05-15,GDP
1959-05-22,CPI
1959-06-10,ISM_Manufacturing
1959-06-10,NFP
1959-06-19,CPI
1959-07-14,ISM_Manufacturing
1959-07-14,NFP
1959-07-19,GDP
1959-07-22,CPI
1959-08-11,NFP
1959-08-11,ISM_Manufacturing
1959-08-18,GDP
1959-08-21,CPI
1959-09-10,ISM_Manufacturing
1959-09-10,NFP
1959-09-23,CPI
1959-10-13,NFP
1959-10-13,ISM_Manufacturing
1959-10-23,GDP
1959-10-23,CPI
1959-11-11,NFP
1959-11-11,ISM_Manufacturing
1959-11-13,GDP
1959-11-25,CPI
1959-12-11,ISM_Manufacturing
1959-12-11,NFP
1959-12-22,CPI
1960-01-15,ISM_Manufacturing
