,Fund Type,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,ETF,ETF.1,ETF.2,Closed-End Fund,ETF.3,ETF.4,ETF.5,ETF.6,ETF.7,ETF.8,ETF.9,ETF.10,ETF.11,ETF.12,Investment Trust,ETF.13,ETF.14,ETF.15,ETF.16,ETF.17,ETF.18,ETF.19,ETF.20,ETF.21,Open-End Fund,ETF.22,Open-End Fund.1,ETF.23,ETF.24,Investment Trust.1,ETC,ETC.1,ETC.2,ETC.3,ETC.4,ETC.5,ETC.6,ETC.7,ETC.8,ETC.9,ETC.10,ETC.11,ETC.12,ETC.13,ETC.14,ETC.15,ETC.16,ETC.17,ETC.18,ETC.19,ETC.20,ETC.21,ETC.22,ETC.23,ETC.24,ETC.25,ETC.26,ETC.27,ETC.28,ETC.29,ETC.30,ETC.31,ETC.32,ETC.33,ETF.25,FCP,ETF.26,ETF.27,ETF.28,ETF.29,FCP.1,ETF.30,ETF.31,ETF.32,ETF.33,ETF.34,Opend-End Fund,ETF.35,ETF.36,Opend-End Fund.1,FCP.2,ETF.37,ETF.38,FCP.3,Open-End Fund.2,FCP.4,FCP.5,FCP.6,Open-End Fund.3,FCP.7,ETF.39,ETF.40,FCP.8,ETF.41,Open-End Fund.4,FCP.9,Opend-End Fund.2,ETF.42,Open-End Fund.5,ETF.43,FCP.10,ETF.44,ETF.45,Opend-End Fund.3,FCP.11,ETF.46,FCP.12,ETF.47,Opend-End Fund.4,ETC.34,Opend-End Fund.5,FCP.13,FCP.14,Opend-End Fund.6,ETF.48,ETF.49,Opend-End Fund.7,FCP.15,FCP.16,FCP.17,FCP.18,FCP.19,FCP.20,ETF.50,ETF.51,FCP.21,ETF.52,ETF.53,ETF.54,ETF.55,ETF.56,ETF.57,ETF.58,FCP.22,FCP.23,FCP.24,FCP.25,Opend-End Fund.8,Opend-End Fund.9,ETC.35,ETC.36,Open-End Fund.6,Open-End Fund.7,Open-End Fund.8,ETF.59,ETF.60,ETF.61,ETF.62,ETF.63,ETF.64,ETF.65,ETF.66,ETF.67,ETF.68,ETF.69,ETF.70,ETF.71,ETF.72,Open End Fund,Open End Fund.1,ETF.73,ETF.74,ETF.75,ETF.76,ETF.77,ETF.78,ETF.79,ETF.80,ETF.81,ETF.82,ETF.83,ETF.84,ETF.85,ETF.86,ETF.87,ETF.88,ETF.89,ETF.90,ETF.91,ETF.92,ETF.93,ETF.94,ETF.95,ETF.96,ETF.97,ETF.98,ETF.99,ETF.100,ETF.101,ETF.102,ETF.103,ETF.104,ETP,ETF.105,ETF.106,ETF.107,ETF.108,ETF.109,ETF.110,ETF.111,ETF.112,ETF.113,ETC.37,ETF.114,ETF.115,ETF.116,ETF.117,ETF.118,ETF.119,ETF.120,ETC.38,ETF.121,ETF.122,ETF.123,Special Purpose Partnership
0,Region,,,,,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
1,Country,,,,,US,US,US,US,US,US,US,US,US,US,US,US,US,US,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,France,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Ireland,Liechtenstein,Liechtenstein,Liechtenstein,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,China P.R. Mainland,Japan,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,India,South Korea,South Korea,Hong Kong SAR,Hong Kong SAR,Hong Kong SAR,Hong Kong SAR,Malaysia,Thailand,Thailand,Thailand,Thailand,Australia,Australia,Australia,Australia,Australia,Australia,Australia,South Africa,South Africa,Turkey,Turkey,Saudi Arabia,UAE
2,Date,"Gold, US$/oz",Ounces,Tonnes,Value (USD),SPDR Gold Shares,iShares Gold Trust,SPDR Gold MiniShares Trust,Sprott Physical Gold Trust,abrdn Gold ETF Trust,iShares Gold Trust Micro,Goldman Sachs Physical Gold ETF,VanEck Merk Gold ETF,abrdn Precious Metals Basket ETF Trust,Graniteshares Gold Trust,Franklin Responsibly Sourced Gold ETF,ETFS Physical Asian Gold Shares,SPDR Long Dollar Gold Trust,Sprott ESG Gold ETF,Sprott Physical Gold & Silver Trust,iShares Gold Bullion ETF ‡,BMO Gold Bullion ETF,Royal Canadian Mint -  Canadian Gold Reserves,iShares Gold Bullion Fund,Purpose Gold Bullion Fund - Hedged  ‡,Purpose Gold Bullion Fund - CAD,CI Gold Bullion ETF (USD),BMO Gold Bullion Hedged to CAD,CI Gold Bullion ETF (CAD Hedged),BMG Gold Bullion Fund,CI Gold Bullion ETF (CAD),BMG BullionFund,BMO Gold Bullion ETF (USD Units),Purpose Gold Bullion Fund - USD,Central GoldTrust,iShares Physical Gold ETC,Invesco Physical Gold ETC,WisdomTree Physical Gold,WisdomTree Physical Swiss Gold,Gold Bullion Securities Ltd,WisdomTree Physical Gold GBP Daily Hedged,WisdomTree Core Physical Gold,iShares Physical Gold GBP Hedged ETC,Xtrackers IE Physical Gold GBP Hedged ETC,Invesco Physical Gold GBP Hedged ETC,WisdomTree Physical Precious Metals,The Royal Mint Responsibly Sourced Physical GBP Hedged Gold ETC,SMO Physical Gold ETC,RBS Physical Gold ETC,RBS Physical Gold ETCi,GPF Physical Gold ETC,Xetra-Gold,Xtrackers IE Physical Gold ETC,EUWAX Gold II,Xtrackers Physical Gold ETC EUR,Xtrackers Physical Gold Euro Hedged ETC,Xtrackers IE Physical Gold EUR Hedged ETC,Invesco Physical Gold EUR Hedged ETC,EUWAX Gold,Xtrackers Physical Gold ETC,iShares Physical Gold EUR Hedged ETC,The Royal Mint Responsibly Sourced Physical EUR Hedged Gold ETC,Boerse.DE Gold,Xtrackers Physical Gold GBP Hedged ETC,EUWAX Gold Core,EUWAX Gold Traceable,Xtrackers Physical Gold SGD Hedged ETC,Xtrackers Physical Gold CHF Hedged ETC,Amundi Physical Gold ETC,Swisscanto CH Gold ETF EA CHF ‡,PICTET CH Physical Gold-IDYJPY,UBS Gold ETF,Swisscanto CH Gold ETF AA USD,Swisscanto CH Gold ETF AAH CHF,UBS Gold hCHF ETF,Pictet CH Precious Metals Fund - Physical Gold  ‡,Swisscanto CH Gold ETF AA EUR,iShares Gold CH,Swisscanto CH Gold ETF AAH EUR,UBS Gold hEUR ETF,iShares Gold CHF Hedged CH,UBS CH Fund Solutions III UBS Gold USD I A acc,Raiffeisen ETF - Solid Gold Reliable and Traceable H CHF H,Raiffeisen ETF - Solid Gold Reliable and Traceable A USD,UBS CH Fund Solutions III UBS Gold hCHF I A acc,PICTET CH Physical Gold-JDYUSD,Raiffeisen ETF - Solid Gold Ounces - AC,iShares Gold EUR Hedged CH,PICTET CH Physical Gold-PDYUSD,UBS CH Fund Solutions III UBS Gold hCHF I B acc,PICTET CH Physical Gold-PDYCHF,PICTET CH Physical Gold-RDYUSD,PICTET CH Physical Gold ZDYEUR,UBS CH Fund Solutions III UBS Gold USD I B acc ‡,PICTET CH Physical Gold-ZDYUSD,BKB Physical Gold Fairtrade Max Havelaar Class I CHF,Raiffeisen ETF - Solid Gold Ounces Hedged CHF,PICTET CH Physical Gold-IDYEUR,Swisscanto CH Gold ETF AAH GBP,UBS CH Fund Solutions III UBS Gold USD A acc,PICTET CH Physical Gold-IDYCHF,UBS CH Fund Solutions III UBS Gold Income Maximizer hCHF I A dis,Raiffeisen ETF - Solid Gold Ounces A USD,UBS CH Fund Solutions III UBS Gold hCHF A acc,Raiffeisen ETF - Solid Gold Reliable and Traceable,PICTET CH Physical Gold-PDYEUR,BKB Physical Gold Fairtrade Max Havelaar Class I CHF H,Raiffeisen ETF - Solid Gold HSF CHF,UBS CH Fund Solutions III UBS Gold Income Maximizer  hCHF A dis,PICTET CH Physical Gold-HIDYJPY,Swisscanto CH Gold ETF AA GBP,PICTET CH Physical Gold-HPCHF,UBS Carbon Compensated Gold ETF,UBS CH Fund Solutions III UBS Gold Income Maximizer  CHF A dis,The Royal Mint Responsibly Sourced Physical CHF Hedged Gold ETC,UBS CH Fund Solutions III UBS Gold Income Maximizer CHF I A dis ‡,PICTET CH Physical Gold-RDYEUR,PICTET CH Physical Gold-HPEUR,UBS CH Fund Solutions III UBS Gold hEUR I A acc,Raiffeisen ETF - Solid Gold  ‡,BKB Physical Gold Fairtrade Max Havelaar Class A CHF,UBS CH Fund Solutions III UBS Gold hEUR I B acc,PICTET CH Physical Gold-HZCHF,PICTET CH Physical Gold-RDYCHF,PICTET CH Physical Gold-PSGD,PICTET CH Physical Gold-PHKD,PICTET CH Physical Gold-PRMB,PICTET CH Physical Gold-ISGD,UBS ETF CH-Gold USD,Swisscanto ETF Precious Metal Physical Gold USD A  ‡,UBAM CH - Gold+ IHD,Swisscanto ETF Precious Metal Physical Gold USD AX,Swisscanto ETF Precious Metal Physical Gold EUR A,Swisscanto ETF Precious Metal Physical Gold EUR AX,Swisscanto ETF Precious Metal Physical Gold CHF A,Swisscanto ETF Precious Metal Physical Gold GBP A,Swisscanto ETF Precious Metal Physical Gold CHF AX,Swisscanto ETF Precious Metal Physical Gold GBP AX,UBAM CH - Gold+ A USD  ‡,UBAM CH - Gold+ AHD,UBAM CH - Gold+ AH EUR,UBAM CH - Gold+ IHD USD,CSIF CH II Gold Income Maximizer Blue Class IA CHF INC,CSIF CH II Gold Income Maximizer Blue Class IAH CHF INC,WisdomTree Physical Gold EUR Daily Hedged,Royal Mint Responsibly Sourced Physical Gold ETC,Safe Port Physical Gold 95+ Fund,Safe Port Precious Metals 95+ Fund,SafePort PM Value Fund,Huaan Yifu Gold ETF,Bosera Gold Exchange Trade Open-End Fund ETF,Guotai Gold ETF,E Fund Gold Tradable Open-end Securities Investment Fund,ChinaAMC Gold ETF,ICBC Credit Suisse Gold Fund,Fullgoal Shanghai Gold ETF,GF Shanghai Gold ETF,CCB Principal Shanghai Gold,BOC Shanghai Gold,Tianhong Shanghai Gold ETF,Harvest Shanghai Gold ETF,First Seafront Gold ETF,China Southern Shanghai Gold ETF,Bosera Gold ETF I,Bosera Gold ETF d,Ping An Shanghai Gold ETF,Da Cheng Shanghai Gold ETF,Japan Physical Gold ETF,Nippon India ETF Gold BeES,ICICI Prudential Gold iWIN ETF,SBI-ETF Gold,HDFC Gold Exchange Traded Fund,Kotak Gold ETF,Tata Gold Exchange Traded Fund,AXIS GOLD ETF,UTI-Gold Exchange Traded Fund,Mirae Asset Gold ETF,Aditya Birla Sun Life Gold ETF,Zerodha Gold ETF,DSP Gold ETF,Motilal Oswal Gold ETF,Edelweiss Gold ETF,LIC MF Gold ETF,Invesco India Gold Exchange Traded Fund,Quantum Gold Fund,Groww Gold ETF,Baroda BNP Paribas Gold ETF,Union Gold ETF,360 One Gold ETF,Bandhan Gold ETF,Angel One Gold ETF,Choice Gold ETF,The Wealth Company Gold ETF,Canara Robeco Gold Exchange Traded Fund,Motilal Oswal MOSt Shares Gold ETF,R*Shares Gold Exchange Traded Fund,KIM Ace KRX Physical Gold ETF,Mirae Asset TIGER Gold Spot,ValueGold ETF,Hang Seng Gold ETF,Hang Seng RMB Gold ETF,ETFS Physical Gold ETF,TradePlus Shariah Gold Tracker,Bualuang CHAY Gold ETF,ThaiDEX GOLD ETF,K Gold ETF,Thanachart Gold ETF,Global X Physical Gold Structured,Perth Mint Gold Structured Product,BetaShares Gold Bullion ETF Currency Hedged,Global X Bullion ETF,Global X Gold Bullion (Currency Hedged) ETF,VanEck Gold Bullion ETF,ANZ ETFS Physical Gold ETF,NewGold Issuer Ltd,1nvest Gold ETF,Istanbul Gold Exchange Traded Fund,Kuveyt Turk Katilim Bankasi A.S.B Tipi Altin Borsa Yatirim Fonu,Albilad Gold ETF,Dubai Gold Securities LLP
3,2003-03-31 00:00:00,340.55,264546.56085358,8.22831781,88583415.870309,,,,,,,,,,,,,,,8.12820938,,,,,,,,,,,,0.06899009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03111834,,,,,,,,,,,,
4,2003-04-30 00:00:00,328.07272727,321831.72428388,10.01008556,108376833.16664,,,,,,,,,,,,,,,9.23913226,,,,,,,,,,,,0.06899009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70196321,,,,,,,,,,,,
5,2003-05-30 00:00:00,355.66590909,375806.00061424,11.68887321,135816288.1466,,,,,,,,,,,,,,,9.23913226,,,,,,,,,,,,0.06899009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38075086,,,,,,,,,,,,
6,2003-06-30 00:00:00,356.35238095,392412.90934748,12.20540581,135774866.64479,,,,,,,,,,,,,,,9.23913226,,,,,,,,,,,,0.06899009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8845634,0.01272006,,,,,,,,,,,
7,2003-07-31 00:00:00,351.01956522,412413.03070391,12.82747912,146303522.56529,,,,,,,,,,,,,,,9.23913226,,,,,,,,,,,,0.06899009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4890815,0.03027527,,,,,,,,,,,
8,2003-08-29 00:00:00,359.71904762,429292.04438743,13.35247513,161242094.49253,,,,,,,,,,,,,,,9.23913226,,,,,,,,,,,,0.06899009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01407751,0.03027527,,,,,,,,,,,
9,2003-09-30 00:00:00,378.94545455,496012.93110274,15.42772668,192453017.23658,,,,,,,,,,,,,,,9.23913226,,,,,,,,,,,,0.06899009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08747307,0.03213126,,,,,,,,,,,
