code,name,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_delta,option_gamma,option_vega,option_theta,option_rho,option_premium,option_expiry_date_distance
US.GLD260316C290000,GLD 260316 290.00C,177.0835,0.0,0.0,0.0,177.0835,0,0.0,True,CALL,2026-03-16,290.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.354,2
US.GLD260316P290000,GLD 260316 290.00P,0.0001,0.0,0.0,0.0,0.0001,0,0.0,True,PUT,2026-03-16,290.0,100.0,0,127.875,-8.882e-06,7.88e-07,1.5809e-05,-9.9348e-05,1.142e-06,37.071,2
US.GLD260316C295000,GLD 260316 295.00C,172.0855,0.0,0.0,0.0,172.0855,0,0.0,True,CALL,2026-03-16,295.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.355,2
US.GLD260316P295000,GLD 260316 295.00P,0.0001,0.0,0.0,0.0,0.0001,0,0.0,True,PUT,2026-03-16,295.0,100.0,0,123.326,-9.197e-06,8.44e-07,1.6346e-05,-9.9333e-05,1.167e-06,35.986,2
US.GLD260316C300000,GLD 260316 300.00C,167.0876,0.0,0.0,0.0,167.0876,0,0.0,True,CALL,2026-03-16,300.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.355,2
US.GLD260316P300000,GLD 260316 300.00P,0.0001,0.0,0.0,0.0,0.0001,0,0.0,True,PUT,2026-03-16,300.0,100.0,0,118.849,-9.53e-06,9.06e-07,1.6912e-05,-9.9318e-05,1.193e-06,34.901,2
US.GLD260316C305000,GLD 260316 305.00C,162.0896,0.0,0.0,0.0,162.0896,0,0.0,True,CALL,2026-03-16,305.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.356,2
US.GLD260316P305000,GLD 260316 305.00P,0.0001,0.0,0.0,0.0,0.0001,0,0.0,True,PUT,2026-03-16,305.0,100.0,0,114.443,-9.882e-06,9.74e-07,1.751e-05,-9.9302e-05,1.221e-06,33.816,2
US.GLD260316C310000,GLD 260316 310.00C,157.0916,0.0,0.0,0.0,157.0916,0,0.0,True,CALL,2026-03-16,310.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.356,2
US.GLD260316P310000,GLD 260316 310.00P,0.0001,0.0,0.0,0.0,0.0001,0,0.0,True,PUT,2026-03-16,310.0,100.0,0,110.104,-1.0255e-05,1.048e-06,1.8143e-05,-9.9284e-05,1.25e-06,32.731,2
