contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GLD260311C00350000,2026-02-26 16:05:46+00:00,350.0,127.25,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00355000,2026-03-10 16:24:34+00:00,355.0,125.43,124.1,125.4,12.43,11.0,,,3.5971689758300784,True,REGULAR,USD
GLD260311C00360000,2026-03-10 16:24:34+00:00,360.0,120.45,119.1,120.45,8.789993,7.8721056,,,3.4677747680664064,True,REGULAR,USD
GLD260311C00365000,2026-03-10 16:25:37+00:00,365.0,115.64,115.05,116.6,12.68,12.315462,,,3.685059381103516,True,REGULAR,
GLD260311C00370000,2026-03-10 16:25:37+00:00,370.0,110.66,109.15,110.45,12.610001,12.860785,,,3.2021504321289056,True,REGULAR,
GLD260311C00375000,2026-03-09 15:01:45+00:00,375.0,93.07,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00380000,2026-03-10 18:18:37+00:00,380.0,97.1,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00385000,2026-03-09 15:02:28+00:00,385.0,82.93,95.0,96.6,0.0,0.0,,,3.096193665771484,True,REGULAR,
GLD260311C00390000,2026-03-09 15:03:27+00:00,390.0,77.55,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00395000,2026-03-10 15:43:11+00:00,395.0,85.72,84.1,85.55,13.139999,18.10416,,,2.5390661523437497,True,REGULAR,
GLD260311C00400000,2026-03-10 15:43:11+00:00,400.0,80.87,0.0,0.0,0.0,0.0,22.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00405000,2026-03-10 14:05:51+00:00,405.0,73.28,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00410000,2026-03-09 15:03:56+00:00,410.0,57.69,69.1,70.35,0.0,0.0,,,2.1162156469726563,True,REGULAR,USD
GLD260311C00415000,2026-03-10 15:43:20+00:00,415.0,65.69,64.6,65.4,12.300003,23.038027,,,2.058110323486328,True,REGULAR,
GLD260311C00420000,2026-03-10 19:17:25+00:00,420.0,57.57,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00425000,2026-03-10 14:16:26+00:00,425.0,52.97,54.05,56.05,9.52,21.910242,,,1.804200197753906,True,REGULAR,USD
GLD260311C00430000,2026-03-10 15:11:01+00:00,430.0,49.42,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00435000,2026-03-10 16:11:44+00:00,435.0,45.3,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00436000,2026-03-10 16:11:44+00:00,436.0,44.4,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00437000,2026-03-05 19:19:44+00:00,437.0,30.15,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00439000,2026-03-10 17:14:42+00:00,439.0,42.09,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00440000,2026-03-10 17:14:42+00:00,440.0,41.16,0.0,0.0,0.0,0.0,9.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00441000,2026-03-10 15:29:15+00:00,441.0,39.14,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00442000,2026-03-09 14:26:39+00:00,442.0,25.27,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00443000,2026-03-09 19:47:22+00:00,443.0,28.92,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00444000,2026-03-09 14:39:44+00:00,444.0,24.37,35.1,37.15,0.0,0.0,,,1.3054233947753904,True,REGULAR,
GLD260311C00445000,2026-03-10 16:11:24+00:00,445.0,35.44,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00446000,2026-03-09 19:43:27+00:00,446.0,25.79,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00447000,2026-03-09 19:43:27+00:00,447.0,24.82,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
GLD260311C00449000,2026-03-09 19:31:52+00:00,449.0,23.03,0.0,0.0,0.0,0.0,20.0,0.0,1.0000000000000003e-05,True,REGULAR,USD
