contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GLD260311P00290000,2026-03-09 17:11:49+00:00,290.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
GLD260311P00300000,2026-02-26 20:22:45+00:00,300.0,0.07,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
GLD260311P00310000,2026-02-25 16:22:42+00:00,310.0,0.2,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
GLD260311P00315000,2026-02-25 16:22:42+00:00,315.0,0.2,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
GLD260311P00325000,2026-02-25 16:22:42+00:00,325.0,0.2,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
GLD260311P00330000,2026-03-02 14:30:00+00:00,330.0,0.04,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
GLD260311P00345000,2026-03-06 15:54:02+00:00,345.0,0.13,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
GLD260311P00350000,2026-03-10 15:09:24+00:00,350.0,0.06,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD
GLD260311P00355000,2026-03-05 21:02:21+00:00,355.0,0.1,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
GLD260311P00360000,2026-03-06 21:05:55+00:00,360.0,0.1,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
GLD260311P00365000,2026-03-05 21:04:53+00:00,365.0,0.12,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
GLD260311P00370000,2026-03-04 17:52:41+00:00,370.0,0.25,0.0,0.0,0.0,0.0,,0,0.500005,False,REGULAR,USD
GLD260311P00375000,2026-03-09 18:59:24+00:00,375.0,0.01,0.0,0.0,0.0,0.0,50.0,0,0.500005,False,REGULAR,USD
GLD260311P00380000,2026-03-10 19:58:37+00:00,380.0,0.04,0.0,0.0,0.0,0.0,25.0,0,0.500005,False,REGULAR,USD
GLD260311P00385000,2026-03-10 19:58:46+00:00,385.0,0.05,0.0,0.0,0.0,0.0,60.0,0,0.500005,False,REGULAR,USD
GLD260311P00390000,2026-03-10 19:58:47+00:00,390.0,0.01,0.0,0.0,0.0,0.0,26.0,0,0.500005,False,REGULAR,USD
GLD260311P00395000,2026-03-10 19:58:46+00:00,395.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
GLD260311P00400000,2026-03-10 19:58:47+00:00,400.0,0.01,0.0,0.0,0.0,0.0,64.0,0,0.500005,False,REGULAR,USD
GLD260311P00405000,2026-03-10 19:58:47+00:00,405.0,0.01,0.0,0.0,0.0,0.0,49.0,0,0.500005,False,REGULAR,USD
GLD260311P00410000,2026-03-10 19:58:46+00:00,410.0,0.01,0.0,0.0,0.0,0.0,319.0,0,0.500005,False,REGULAR,USD
GLD260311P00415000,2026-03-10 19:58:46+00:00,415.0,0.01,0.0,0.0,0.0,0.0,27.0,0,0.500005,False,REGULAR,USD
GLD260311P00420000,2026-03-10 19:58:34+00:00,420.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
GLD260311P00425000,2026-03-10 20:10:50+00:00,425.0,0.01,0.0,0.0,0.0,0.0,431.0,0,0.500005,False,REGULAR,USD
GLD260311P00430000,2026-03-10 20:02:31+00:00,430.0,0.01,0.0,0.0,0.0,0.0,448.0,0,0.500005,False,REGULAR,USD
GLD260311P00435000,2026-03-10 20:04:27+00:00,435.0,0.03,0.0,0.0,0.0,0.0,416.0,0,0.500005,False,REGULAR,USD
GLD260311P00436000,2026-03-10 19:58:12+00:00,436.0,0.07,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD
GLD260311P00437000,2026-03-10 19:58:04+00:00,437.0,0.07,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
GLD260311P00438000,2026-03-10 19:58:02+00:00,438.0,0.08,0.0,0.0,0.0,0.0,16.0,0,0.2500075,False,REGULAR,USD
GLD260311P00439000,2026-03-10 19:58:02+00:00,439.0,0.08,0.0,0.0,0.0,0.0,2.0,0,0.2500075,False,REGULAR,USD
GLD260311P00440000,2026-03-10 20:12:26+00:00,440.0,0.05,0.0,0.0,0.0,0.0,515.0,0,0.2500075,False,REGULAR,USD
GLD260311P00441000,2026-03-10 19:58:02+00:00,441.0,0.09,0.0,0.0,0.0,0.0,20.0,0,0.2500075,False,REGULAR,USD
GLD260311P00442000,2026-03-10 19:58:01+00:00,442.0,0.1,0.0,0.0,0.0,0.0,26.0,0,0.2500075,False,REGULAR,USD
GLD260311P00443000,2026-03-10 19:58:08+00:00,443.0,0.1,0.0,0.0,0.0,0.0,24.0,0,0.2500075,False,REGULAR,USD
GLD260311P00444000,2026-03-10 19:58:08+00:00,444.0,0.13,0.0,0.0,0.0,0.0,10.0,0,0.2500075,False,REGULAR,USD
GLD260311P00445000,2026-03-10 19:58:06+00:00,445.0,0.13,0.0,0.0,0.0,0.0,219.0,0,0.2500075,False,REGULAR,USD
GLD260311P00446000,2026-03-10 19:58:04+00:00,446.0,0.11,0.0,0.0,0.0,0.0,27.0,0,0.2500075,False,REGULAR,USD
GLD260311P00447000,2026-03-10 19:58:02+00:00,447.0,0.12,0.0,0.0,0.0,0.0,35.0,0,0.2500075,False,REGULAR,USD
GLD260311P00448000,2026-03-10 19:58:02+00:00,448.0,0.13,0.0,0.0,0.0,0.0,85.0,0,0.2500075,False,REGULAR,USD
GLD260311P00449000,2026-03-10 19:58:05+00:00,449.0,0.13,0.0,0.0,0.0,0.0,34.0,0,0.2500075,False,REGULAR,USD
GLD260311P00450000,2026-03-10 20:13:20+00:00,450.0,0.15,0.0,0.0,0.0,0.0,372.0,0,0.2500075,False,REGULAR,USD
GLD260311P00451000,2026-03-10 19:58:09+00:00,451.0,0.16,0.0,0.0,0.0,0.0,34.0,0,0.2500075,False,REGULAR,USD
GLD260311P00452000,2026-03-10 19:58:14+00:00,452.0,0.17,0.0,0.0,0.0,0.0,21.0,0,0.2500075,False,REGULAR,USD
