code,name,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,bid_price,ask_price,bid_vol,ask_vol,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_delta,option_gamma,option_vega,option_theta,option_rho,option_premium,option_expiry_date_distance,option_net_open_interest,price_mid,spread_abs,spread_pct,iv_decimal,dte,snapshot_time_utc
US.GLD260306C456000,GLD 260306 456.00C,2026-03-05 15:01:46,11.15,12.79,12.79,10.6,17.3351,50,58574.0,10.65,12.05,52,10,True,CALL,2026-03-06,456.0,100.0,306,75.199,0.825009198,0.022883721,0.038609156,-3.90268842,0.003852987,0.218,0,N/A,11.350000000000001,1.4000000000000004,12.3348,0.7519899999999999,0,2026-03-06 12:19:21
US.GLD260306P456000,GLD 260306 456.00P,2026-03-05 16:10:17,1.02,1.43,1.9,0.94,1.4542,208,27460.0,0.97,1.3,97,91,True,PUT,2026-03-06,456.0,100.0,663,76.783,-0.179882326,0.022805169,0.039286912,-4.012576296,-0.000856656,2.392,0,N/A,1.135,0.33000000000000007,29.0749,0.76783,0,2026-03-06 12:19:21
US.GLD260306C457000,GLD 260306 457.00C,2026-03-05 15:36:57,10.78,13.07,13.28,9.67,16.4611,89,100160.0,9.75,11.15,52,6,True,CALL,2026-03-06,457.0,100.0,504,72.938,0.807676851,0.02502332,0.040950066,-4.025457496,0.003778868,0.353,0,N/A,10.45,1.4000000000000004,13.3971,0.72938,0,2026-03-06 12:19:21
US.GLD260306P457000,GLD 260306 457.00P,2026-03-05 16:02:20,1.18,1.67,2.16,1.05,1.5801,261,42090.0,0.98,1.48,199,84,True,PUT,2026-03-06,457.0,100.0,576,74.315,-0.196642977,0.024894455,0.041507346,-4.114384195,-0.000936104,2.211,0,N/A,1.23,0.5,40.6504,0.74315,0,2026-03-06 12:19:21
US.GLD260306C458000,GLD 260306 458.00C,2026-03-05 16:14:51,9.62,12.85,12.85,9.02,15.5871,128,136128.0,8.9,10.35,70,41,True,CALL,2026-03-06,458.0,100.0,391,72.095,0.783742538,0.027148214,0.043913812,-4.279296211,0.003672206,0.319,0,N/A,9.625,1.4499999999999993,15.0649,0.72095,0,2026-03-06 12:19:21
US.GLD260306P458000,GLD 260306 458.00P,2026-03-05 16:14:10,1.35,1.58,2.43,1.12,1.706,758,140716.0,1.26,1.5,146,25,True,PUT,2026-03-06,458.0,100.0,852,72.816,-0.218485905,0.027039193,0.044174282,-4.303944363,-0.00103994,2.033,0,N/A,1.38,0.24,17.3913,0.72816,0,2026-03-06 12:19:21
US.GLD260306C459000,GLD 260306 459.00C,2026-03-05 16:14:51,8.87,12.4,12.4,8.25,14.7312,102,98809.0,8.2,9.55,55,41,True,CALL,2026-03-06,459.0,100.0,214,72.359,0.754363929,0.029043861,0.047153058,-4.625024015,0.00353857,0.373,0,N/A,8.875,1.3500000000000014,15.2113,0.72359,0,2026-03-06 12:19:21
US.GLD260306P459000,GLD 260306 459.00P,2026-03-05 16:10:32,1.55,1.64,2.5,1.2,1.85,388,76546.0,1.4,1.88,206,87,True,PUT,2026-03-06,459.0,100.0,898,73.244,-0.248180239,0.028852476,0.047413523,-4.663478524,-0.001181756,1.862,0,N/A,1.64,0.48,29.2683,0.73244,0,2026-03-06 12:19:21
US.GLD260306C460000,GLD 260306 460.00C,2026-03-05 16:12:44,8.17,11.25,11.25,7.2,13.8913,250,216994.0,7.5,8.8,81,35,True,CALL,2026-03-06,460.0,100.0,2904,72.493,0.723616158,0.030803987,0.050103238,-4.935560162,0.003398088,0.437,0,N/A,8.15,1.3000000000000007,15.9509,0.72493,0,2026-03-06 12:19:21
US.GLD260306P460000,GLD 260306 460.00P,2026-03-05 16:12:28,1.77,1.94,3.0,1.45,2.01,1748,380426.0,1.67,2.18,84,93,True,PUT,2026-03-06,460.0,100.0,3827,73.525,-0.279078997,0.030516599,0.050340913,-4.985461304,-0.001329169,1.694,0,N/A,1.925,0.5100000000000002,26.4935,0.7352500000000001,0,2026-03-06 12:19:21
US.GLD260306C461000,GLD 260306 461.00C,2026-03-05 16:12:10,7.5,9.59,9.86,6.82,13.0513,739,582495.0,6.9,8.05,74,46,True,CALL,2026-03-06,461.0,100.0,751,72.96,0.69051818,0.032257331,0.052805826,-5.246251555,0.003245779,0.508,0,N/A,7.4750000000000005,1.1500000000000004,15.3846,0.7295999999999999,0,2026-03-06 12:19:21
US.GLD260306P461000,GLD 260306 461.00P,2026-03-05 16:04:22,1.93,2.21,3.22,1.66,2.17,634,140325.0,1.82,2.32,157,89,True,PUT,2026-03-06,461.0,100.0,964,70.524,-0.303742771,0.033098129,0.052370648,-4.983936414,-0.001445144,1.514,0,N/A,2.07,0.4999999999999998,24.1546,0.70524,0,2026-03-06 12:19:21
US.GLD260306C465000,GLD 260306 465.00C,2026-03-05 16:10:32,4.75,7.12,7.5,4.1,9.9464,1675,859526.0,4.35,5.05,67,16,True,CALL,2026-03-06,465.0,100.0,4781,67.52,0.554600074,0.039074817,0.059197487,-5.467445853,0.002620351,0.776,0,N/A,4.699999999999999,0.7000000000000002,14.8936,0.6751999999999999,0,2026-03-06 12:19:21
US.GLD260306P465000,GLD 260306 465.00P,2026-03-05 16:13:19,3.35,3.22,5.15,2.5,3.065,2443,980954.0,3.15,3.7,151,3,True,PUT,2026-03-06,465.0,100.0,3422,67.553,-0.445445588,0.03905937,0.059197506,-5.425280487,-0.002113031,0.961,0,N/A,3.425,0.5500000000000003,16.0584,0.67553,0,2026-03-06 12:19:21
US.GLD260306C466000,GLD 260306 466.00C,2026-03-05 16:14:31,4.15,6.54,6.89,3.7,9.2314,1392,641842.0,3.9,4.4,179,1,True,CALL,2026-03-06,466.0,100.0,1144,67.123,0.515297882,0.039648791,0.059714194,-5.483097931,0.002436897,0.862,0,N/A,4.15,0.5000000000000004,12.0482,0.67123,0,2026-03-06 12:19:21
US.GLD260306P466000,GLD 260306 466.00P,2026-03-05 16:09:14,3.71,3.35,5.22,2.88,3.35,2054,879629.0,3.6,4.3,152,82,True,PUT,2026-03-06,466.0,100.0,2060,68.412,-0.484853161,0.038906012,0.059714015,-5.543080235,-0.002298404,0.823,0,N/A,3.95,0.6999999999999997,17.7215,0.6841200000000001,0,2026-03-06 12:19:21
US.GLD260306C467000,GLD 260306 467.00C,2026-03-05 16:11:50,3.6,6.64,6.64,3.0,8.5625,1387,620026.0,3.5,3.75,133,1,True,CALL,2026-03-06,467.0,100.0,633,66.483,0.475343125,0.039983122,0.059643932,-5.422188976,0.002250044,0.958,0,N/A,3.625,0.25,6.8966,0.66483,0,2026-03-06 12:19:21
US.GLD260306P467000,GLD 260306 467.00P,2026-03-05 15:58:26,4.05,3.71,5.75,3.23,3.6812,1769,817817.0,4.1,4.65,135,79,True,PUT,2026-03-06,467.0,100.0,2012,66.935,-0.524464346,0.039718915,0.059644463,-5.414176766,-0.002481199,0.682,0,N/A,4.375,0.5500000000000007,12.5714,0.66935,0,2026-03-06 12:19:21
US.GLD260306C468000,GLD 260306 468.00C,2026-03-05 16:14:51,3.21,6.4,6.4,2.8,7.9235,1425,549550.0,2.88,3.55,193,84,True,CALL,2026-03-06,468.0,100.0,1270,67.11,0.436330445,0.039178922,0.058995279,-5.408513609,0.002066538,1.089,0,N/A,3.215,0.6699999999999999,20.8398,0.6711,0,2026-03-06 12:19:21
US.GLD260306P468000,GLD 260306 468.00P,2026-03-05 16:05:31,4.55,3.91,6.35,3.45,4.0423,910,456599.0,4.55,5.25,142,77,True,PUT,2026-03-06,468.0,100.0,1054,66.466,-0.564400374,0.03955296,0.058976165,-5.310131909,-0.002664955,0.574,0,N/A,4.9,0.7000000000000002,14.2857,0.6646599999999999,0,2026-03-06 12:19:21
US.GLD260306C471000,GLD 260306 471.00C,2026-03-05 16:09:03,2.14,4.41,5.1,1.75,6.1278,670,189664.0,1.95,2.26,5,102,True,CALL,2026-03-06,471.0,100.0,406,67.17,0.324113964,0.03573115,0.053850526,-4.912720317,0.001537983,1.503,0,N/A,2.105,0.30999999999999983,14.7268,0.6717,0,2026-03-06 12:19:21
US.GLD260306P471000,GLD 260306 471.00P,2026-03-05 15:48:26,6.52,5.82,8.25,4.9,5.2471,72,44984.0,5.95,7.0,105,33,True,PUT,2026-03-06,471.0,100.0,995,60.534,-0.694510889,0.038671639,0.05250154,-4.267180274,-0.003236523,0.353,0,N/A,6.475,1.0499999999999998,16.2162,0.60534,0,2026-03-06 12:19:21
US.GLD260306C472000,GLD 260306 472.00C,2026-03-05 16:10:35,1.76,4.05,4.6,1.39,5.6298,647,158690.0,1.58,1.92,159,94,True,CALL,2026-03-06,472.0,100.0,2296,66.078,0.286367111,0.034378276,0.05096847,-4.559679903,0.001360001,1.636,0,N/A,1.75,0.33999999999999986,19.4286,0.66078,0,2026-03-06 12:19:21
US.GLD260306P472000,GLD 260306 472.00P,2026-03-05 15:14:29,7.56,5.58,9.07,5.34,5.7494,62,45362.0,6.65,8.2,86,42,True,PUT,2026-03-06,472.0,100.0,580,65.132,-0.716584851,0.034719402,0.050714318,-4.426583675,-0.003341017,0.362,0,N/A,7.425,1.549999999999999,20.8754,0.65132,0,2026-03-06 12:19:21
US.GLD260306C473000,GLD 260306 473.00C,2026-03-05 16:12:04,1.33,4.03,4.03,1.33,5.1319,307,67382.0,1.33,1.7,168,101,True,CALL,2026-03-06,473.0,100.0,3037,66.655,0.255336724,0.032183118,0.048130644,-4.32904089,0.001213101,1.759,0,N/A,1.5150000000000001,0.3699999999999999,24.4224,0.66655,0,2026-03-06 12:19:21
US.GLD260306P473000,GLD 260306 473.00P,2026-03-05 16:05:31,7.75,7.0,9.57,6.45,6.2517,125,111139.0,7.45,8.9,84,26,True,PUT,2026-03-06,473.0,100.0,313,65.338,-0.749120372,0.03254596,0.047683548,-4.157925737,-0.003477647,0.188,0,N/A,8.175,1.4500000000000002,17.737,0.65338,0,2026-03-06 12:19:21
US.GLD260306C474000,GLD 260306 474.00C,2026-03-05 16:10:35,1.26,3.19,3.4,1.16,4.6339,615,113158.0,1.2,1.4,1,51,True,CALL,2026-03-06,474.0,100.0,2210,67.061,0.226111864,0.029939786,0.04504748,-4.061004941,0.001074683,1.958,0,N/A,1.2999999999999998,0.19999999999999996,15.3846,0.67061,0,2026-03-06 12:19:21
US.GLD260306P474000,GLD 260306 474.00P,2026-03-05 13:43:12,8.69,7.1,10.5,6.4,6.7541,42,40194.0,8.25,9.45,82,35,True,PUT,2026-03-06,474.0,100.0,603,63.146,-0.78812855,0.030650901,0.043388445,-3.632215865,-0.003626697,0.175,0,N/A,8.85,1.1999999999999993,13.5593,0.63146,0,2026-03-06 12:19:21
US.GLD260306C475000,GLD 260306 475.00C,2026-03-05 16:09:27,1.1,5.65,5.65,0.97,4.1787,2595,390244.0,0.99,1.25,1,79,True,CALL,2026-03-06,475.0,100.0,41762,67.672,0.199989699,0.027617454,0.041932075,-3.799216969,0.000950835,2.138,0,N/A,1.12,0.26,23.2143,0.67672,0,2026-03-06 12:19:21
US.GLD260306P475000,GLD 260306 475.00P,2026-03-05 16:02:46,9.65,7.75,11.55,7.22,7.2993,292,278831.0,9.1,10.3,49,25,True,PUT,2026-03-06,475.0,100.0,6818,64.188,-0.81296966,0.027976474,0.040247904,-3.407935951,-0.003721923,0.167,0,N/A,9.7,1.200000000000001,12.3711,0.64188,0,2026-03-06 12:19:21
US.GLD260306C476000,GLD 260306 476.00C,2026-03-05 16:13:59,1.03,2.81,2.81,0.83,3.7655,922,123306.0,0.85,1.02,5,45,True,CALL,2026-03-06,476.0,100.0,2308,67.569,0.17364504,0.025342987,0.038419647,-3.458782975,0.000825968,2.338,0,N/A,0.935,0.17000000000000004,18.1818,0.67569,0,2026-03-06 12:19:21
US.GLD260306P476000,GLD 260306 476.00P,2026-03-05 14:09:40,10.64,8.53,12.15,8.17,7.8865,47,48031.0,9.9,11.4,31,38,True,PUT,2026-03-06,476.0,100.0,262,67.354,-0.82725224,0.025366056,0.038288589,-3.39188021,-0.003782333,0.165,0,N/A,10.65,1.5,14.0845,0.67354,0,2026-03-06 12:19:21
US.GLD260309P451000,GLD 260309 451.00P,2026-03-05 15:53:00,1.74,1.93,2.18,1.72,1.8053,35,6302.0,1.49,1.85,184,138,True,PUT,2026-03-09,451.0,100.0,91,38.627,-0.176655633,0.015064915,0.115542,-0.667171134,-0.007279644,3.619,3,N/A,1.67,0.3600000000000001,21.5569,0.38627,3,2026-03-06 12:19:21
US.GLD260309C452000,GLD 260309 452.00C,2026-03-05 09:30:00,21.922,0.0,0.0,0.0,21.922,0,0.0,15.15,16.85,33,28,True,CALL,2026-03-09,452.0,100.0,0,36.357,0.821348791,0.016117038,0.116371018,-0.676631288,0.03352973,1.671,3,N/A,16.0,1.700000000000001,10.625,0.36357,3,2026-03-06 12:19:21
US.GLD260309P452000,GLD 260309 452.00P,2026-03-05 11:38:19,2.42,2.04,2.42,1.73,1.922,76,15004.0,1.63,2.01,227,125,True,PUT,2026-03-09,452.0,100.0,181,38.261,-0.190473609,0.015940519,0.121096044,-0.698297228,-0.007849238,3.55,3,N/A,1.8199999999999998,0.3799999999999999,20.8791,0.38261,3,2026-03-06 12:19:21
US.GLD260309C453000,GLD 260309 453.00C,2026-03-05 09:30:00,21.0598,21.0598,0.0,0.0,21.0598,0,0.0,14.6,16.05,61,38,True,CALL,2026-03-09,453.0,100.0,4,37.387,0.79793992,0.016904736,0.125522226,-0.755432045,0.032594125,1.701,3,N/A,15.325,1.450000000000001,9.4617,0.37387,3,2026-03-06 12:19:21
