code,name,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,bid_price,ask_price,bid_vol,ask_vol,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_delta,option_gamma,option_vega,option_theta,option_rho,option_premium,option_expiry_date_distance,option_net_open_interest,price_mid,spread_abs,spread_pct,iv_decimal,dte,snapshot_time_utc
US.GLD260518C300000,GLD 260518 300.00C,2026-05-18 15:09:56,118.22,116.99,118.22,116.99,117.4217,20,234345.0,118.2,119.95,21,20,True,CALL,2026-05-18,300.0,100.0,0,6160.492,0.99277102,0.000342096,0.000190717,-275.531035827,1.5342e-05,-0.05,0,N/A,119.075,1.75,1.4697,61.60492,0,2026-05-18 21:05:49
US.GLD260518P300000,GLD 260518 300.00P,2026-05-18 14:34:03,0.01,0.05,0.05,0.01,0.0001,2,6.0,0.0,0.05,0,171,True,PUT,2026-05-18,300.0,100.0,0,4715.278,-0.000795974,6.0861e-05,2.597e-05,-25.977273667,-1.7e-08,28.305,0,N/A,0.025,0.05,200.0,47.15278,0,2026-05-18 21:05:49
US.GLD260518C305000,GLD 260518 305.00C,2026-05-18 16:03:36,113.5,112.04,113.5,112.04,112.4232,22,247137.0,113.3,114.05,31,16,True,CALL,2026-05-18,305.0,100.0,0,6004.662,0.991448328,0.000406878,0.000221096,-313.567745391,1.557e-05,0.016,0,N/A,113.675,0.75,0.6598,60.046620000000004,0,2026-05-18 21:05:49
US.GLD260518P305000,GLD 260518 305.00P,2026-05-18 14:33:10,0.01,0.05,0.05,0.01,0.0001,2,6.0,0.0,0.05,0,239,True,PUT,2026-05-18,305.0,100.0,0,4496.68,-0.000833014,6.6548e-05,2.708e-05,-25.874386007,-1.8e-08,27.11,0,N/A,0.025,0.05,200.0,44.966800000000006,0,2026-05-18 21:05:49
US.GLD260518C310000,GLD 260518 310.00C,2026-05-18 15:07:08,108.12,107.64,108.12,107.4,107.4247,4,43059.0,108.2,109.65,13,13,True,CALL,2026-05-18,310.0,100.0,2,5613.756,0.992108943,0.000405535,0.000206019,-272.059454062,1.5844e-05,-0.074,0,N/A,108.92500000000001,1.4500000000000028,1.3312,56.13756,0,2026-05-18 21:05:49
US.GLD260518P310000,GLD 260518 310.00P,2026-05-18 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0,0.0,0.0,0.05,0,137,True,PUT,2026-05-18,310.0,100.0,0,3187.845,-1.4916e-05,2.16e-06,6.23e-07,-0.353000164,0.0,25.913,0,N/A,0.025,0.05,200.0,31.878449999999997,0,2026-05-18 21:05:49
US.GLD260518C315000,GLD 260518 315.00C,2026-05-18 15:07:08,103.21,102.75,103.21,102.49,102.4262,4,41097.0,103.2,104.95,17,13,True,CALL,2026-05-18,315.0,100.0,16,5345.574,0.991737572,0.000443447,0.000214517,-270.192996118,1.6095e-05,-0.052,0,N/A,104.075,1.75,1.6815,53.45574,0,2026-05-18 21:05:49
US.GLD260518P315000,GLD 260518 315.00P,2026-05-18 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0,0.0,0.0,0.05,0,145,True,PUT,2026-05-18,315.0,100.0,0,3024.912,-1.5695e-05,2.389e-06,6.54e-07,-0.352198349,0.0,24.718,0,N/A,0.025,0.05,200.0,30.249119999999998,0,2026-05-18 21:05:49
US.GLD260518C320000,GLD 260518 320.00C,2026-05-18 13:57:51,97.4,97.39,97.4,97.39,97.4276,2,19479.0,98.2,99.95,17,13,True,CALL,2026-05-18,320.0,100.0,18,5080.607,0.9913344,0.000486498,0.000223677,-268.228295424,1.6344e-05,-0.246,0,N/A,99.075,1.75,1.7663,50.80607,0,2026-05-18 21:05:49
US.GLD260518P320000,GLD 260518 320.00P,2026-05-18 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0,0.0,0.0,0.05,0,149,True,PUT,2026-05-18,320.0,100.0,0,2864.256,-1.6547e-05,2.653e-06,6.87e-07,-0.351352185,0.0,23.523,0,N/A,0.025,0.05,200.0,28.64256,0,2026-05-18 21:05:49
US.GLD260518C325000,GLD 260518 325.00C,2026-05-18 13:57:51,92.49,92.48,92.49,92.48,92.4291,2,18497.0,92.95,94.95,12,18,True,CALL,2026-05-18,325.0,100.0,0,3881.041,0.998180674,0.000157572,5.5341e-05,-47.239971311,1.6757e-05,-0.224,0,N/A,93.95,2.0,2.1288,38.810410000000005,0,2026-05-18 21:05:49
US.GLD260518P325000,GLD 260518 325.00P,2026-05-18 09:30:00,0.0001,0.0,0.0,0.0,0.0001,0,0.0,0.0,0.05,0,146,True,PUT,2026-05-18,325.0,100.0,0,2705.784,-1.7485e-05,2.96e-06,7.24e-07,-0.350457242,0.0,22.328,0,N/A,0.025,0.05,200.0,27.057840000000002,0,2026-05-18 21:05:49
US.GLD260518C330000,GLD 260518 330.00C,2026-05-18 14:59:01,86.39,86.39,86.39,86.39,87.4306,1,8639.0,88.15,89.95,17,13,True,CALL,2026-05-18,330.0,100.0,1,4450.58,0.991735191,0.000532756,0.000214572,-224.741089776,1.6871e-05,-0.487,0,N/A,89.05000000000001,1.7999999999999972,2.0213,44.5058,0,2026-05-18 21:05:49
US.GLD260518P330000,GLD 260518 330.00P,2026-05-18 09:30:00,0.0001,0.0001,0.0,0.0,0.0001,0,0.0,0.0,0.05,0,136,True,PUT,2026-05-18,330.0,100.0,10,2549.407,-1.8521e-05,3.318e-06,7.65e-07,-0.349507853,0.0,21.133,0,N/A,0.025,0.05,200.0,25.49407,0,2026-05-18 21:05:49
