signal_date,signal_type,spot,strike_atm,expiry,actual_dte,rv,error,rv_pctile,regime,days_to_fomc,days_to_nfp,straddle_score,short_vol_score,long_call_entry,long_call_pnl_close,long_call_pnl_pct,long_call_max_pnl_pct,short_put_entry_premium,short_put_pnl_close,short_put_pnl_pct,straddle_entry,straddle_pnl_close,straddle_pnl_pct,straddle_max_pnl_pct,entry_date,exit_date,ic_short_call_k,ic_long_call_k,ic_short_put_k,ic_long_put_k,ic_credit,ic_debit_at_exit,ic_stopped,ic_pnl,ic_pnl_pct_of_credit,ic_max_loss
2024-11-08,SELL PUT,247.9600067138672,,,,21.313770320234696,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.9484126984126984,Bull,82,56,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-11,SELL PUT,242.13999938964844,240.0,2027-01-15,795.0,23.83048405018177,,0.996031746031746,Bull,79,53,0.0,5.0,35.29999923706055,-4.579999923706055,-12.974504313579793,-3.682717465035268,13.0,-2.560000419616699,-19.692310920128456,48.29999923706055,-1.3399991989135742,-2.774325507412004,0.5176023008232401,,,,,,,,,,,,
2024-11-12,SELL PUT,240.0500030517578,240.0,2027-01-15,794.0,22.272386343494766,,0.9563492063492064,Bull,78,52,0.0,5.0,32.650001525878906,-1.930002212524414,-5.911185673282937,0.0,15.100000381469727,-0.46000003814697266,-3.0463577915631785,47.75000190734863,-0.7900018692016602,-1.6544541102522563,1.6753910054554961,,,,,,,,,,,,
2024-11-13,SELL PUT,237.6300048828125,240.0,2027-01-15,793.0,21.28237774881401,,0.9365079365079365,Bull,77,51,0.0,5.0,32.45000076293945,1.3999977111816406,4.314322583254149,4.314322583254149,14.430000305175781,-1.130000114440918,-7.830908458370629,46.880001068115234,0.07999897003173828,0.1706462632445383,3.562286770999611,,,,,,,,,,,,
2024-11-14,SELL PUT,237.0099945068359,,,,20.983580718582886,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.9206349206349206,Bull,76,50,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-15,SELL PUT,236.58999633789065,,,,21.097756633117186,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.9206349206349206,Bull,75,49,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-18,SHORT_VOL,241.08999633789065,,,,24.470731116176474,无历史 K 线 (所有候选 expiry 在信号日均无数据),1.0,Bull,72,46,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-19,SHORT_VOL,243.25,,,,25.222626951554744,无历史 K 线 (所有候选 expiry 在信号日均无数据),1.0,Bull,71,45,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-20,SHORT_VOL,244.6199951171875,,,,20.606819481054774,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.9047619047619048,Bull,70,44,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-21,SHORT_VOL,246.66000366210935,,,,19.214860157993574,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.873015873015873,Bull,69,43,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22,SHORT_VOL,249.83999633789065,,,,20.117295071273013,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8968253968253969,Bull,68,42,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-25,SELL PUT,242.47999572753903,240.0,2027-01-15,781.0,22.33023440400749,,0.9484126984126984,Bull,65,39,0.0,5.0,36.400001525878906,1.7999992370605469,4.945052641772074,4.945052641772074,13.390000343322754,-0.1099996566772461,-0.8215060034117181,49.79000186920166,-0.9000024795532227,-1.8075967980831358,-1.8075967980831358,,,,,,,,,,,,
2024-11-26,SELL PUT,242.9499969482422,,,,21.786812901752878,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.9365079365079365,Bull,64,38,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-26,SHORT_VOL,242.9499969482422,,,,21.786812901752878,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.9365079365079365,Bull,64,38,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-11-27,SELL PUT,243.4900054931641,,,,20.849939613166722,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8968253968253969,Bull,63,37,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-02,SELL PUT,243.44000244140625,,,,21.634059095002154,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.9285714285714286,Bull,58,32,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03,SELL PUT,243.92999267578125,,,,19.716298302159778,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8650793650793651,Bull,57,31,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03,SHORT_VOL,243.92999267578125,,,,19.716298302159778,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8650793650793651,Bull,57,31,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-04,SHORT_VOL,244.6699981689453,,,,19.285156625955906,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8492063492063492,Bull,56,30,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05,BUY CALL,242.86000061035156,,,,19.44252033163894,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8492063492063492,Bull,55,29,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-05,SHORT_VOL,242.86000061035156,,,,19.44252033163894,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8492063492063492,Bull,55,29,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06,BUY CALL,242.9499969482422,,,,18.808689883852374,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8214285714285714,Bull,54,28,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06,SHORT_VOL,242.9499969482422,,,,18.808689883852374,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.8214285714285714,Bull,54,28,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-09,SHORT_VOL,245.36000061035156,245.0,2027-01-15,767.0,18.23092715774012,,0.7817460317460317,Bull,51,25,1.0,7.0,31.68,1.5900000000000034,5.018939393939403,5.018939393939403,14.2,0.3899999999999988,2.746478873239428,45.879999999999995,1.20000000000001,2.6155187445510246,2.6155187445510246,,,,,,,,,,,,
2024-12-12,BUY CALL,247.27999877929688,,,,14.706476067327165,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.5515873015873016,Bull,48,22,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13,BUY CALL,244.2899932861328,,,,15.58719765289501,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.6388888888888888,Bull,47,21,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13,SHORT_VOL,244.2899932861328,,,,15.58719765289501,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.6388888888888888,Bull,47,21,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-16,BUY CALL,244.8800048828125,,,,14.925026540671658,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.5714285714285714,Bull,44,18,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-16,SHORT_VOL,244.8800048828125,,,,14.925026540671658,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.5714285714285714,Bull,44,18,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-17,BUY CALL,243.94000244140625,,,,15.05788668755452,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.5952380952380952,Bull,43,17,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-17,SHORT_VOL,243.94000244140625,,,,15.05788668755452,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.5952380952380952,Bull,43,17,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-18,BUY CALL,239.2599945068359,240.0,2027-01-15,758.0,17.755103653267543,,0.7777777777777778,Bull,42,16,2.0,7.0,34.0,-1.25,-3.676470588235292,-3.676470588235292,14.289999961853027,0.9399995803833008,6.5780236731463795,45.22000026702881,0.880000114440918,1.9460418161088584,1.9460418161088584,,,,,,,,,,,,
2024-12-18,SHORT_VOL,239.2599945068359,240.0,2027-01-15,758.0,17.755103653267543,,0.7777777777777778,Bull,42,16,2.0,7.0,34.0,-1.25,-3.676470588235292,-3.676470588235292,14.289999961853027,0.9399995803833008,6.5780236731463795,45.22000026702881,0.880000114440918,1.9460418161088584,1.9460418161088584,,,,,,,,,,,,
2024-12-19,BUY CALL,239.6000061035156,240.0,2027-01-15,757.0,17.585668367016947,,0.7658730158730159,Bull,41,15,2.0,8.0,30.93000030517578,1.6699981689453125,5.399282743187883,5.884253724108968,14.289999961853027,1.6999998092651367,11.896429767692544,45.22000026702881,-0.03000164031982422,-0.06634595343357234,1.9460418161088584,,,,,,,,,,,,
2024-12-19,SHORT_VOL,239.6000061035156,240.0,2027-01-15,757.0,17.585668367016947,,0.7658730158730159,Bull,41,15,2.0,8.0,30.93000030517578,1.6699981689453125,5.399282743187883,5.884253724108968,14.289999961853027,1.6999998092651367,11.896429767692544,45.22000026702881,-0.03000164031982422,-0.06634595343357234,1.9460418161088584,,,,,,,,,,,,
2024-12-20,SHORT_VOL,242.1000061035156,240.0,2027-01-15,756.0,18.55143022661465,,0.8214285714285714,Bull,40,14,2.0,8.0,32.45000076293945,0.14999771118164062,0.46224255055473673,0.9244968567247991,13.199999809265137,0.6099996566772461,4.621209587056847,45.65000057220459,-0.46000194549560547,-1.0076712808974022,0.9857607965488898,,,,,,,,,,,,
2024-12-23,SHORT_VOL,240.9600067138672,240.0,2027-01-15,753.0,17.728144172330325,,0.7698412698412699,Bull,37,11,2.0,8.0,32.45000076293945,1.5999984741210938,4.930657739609123,5.51618142817325,13.199999809265137,0.6099996566772461,4.621209587056847,45.65000057220459,-0.46000194549560547,-1.0076712808974022,0.9857607965488898,,,,,,,,,,,,
2024-12-26,SHORT_VOL,243.07000732421875,,,,15.348182415463313,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.6111111111111112,Bull,34,8,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
2024-12-27,BUY CALL,241.3999938964844,,,,14.146674588265414,无历史 K 线 (所有候选 expiry 在信号日均无数据),0.5,Bull,33,7,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
