signal_date,signal_type,spot,strike_atm,expiry,actual_dte,rv,long_call_entry,long_call_pnl_close,long_call_pnl_pct,long_call_max_pnl_pct,short_put_entry_premium,short_put_pnl_close,short_put_pnl_pct,straddle_entry,straddle_pnl_close,straddle_pnl_pct,straddle_max_pnl_pct,rv_pctile,regime,days_to_fomc,days_to_nfp,straddle_score,short_vol_score,entry_date,exit_date,ic_short_call_k,ic_long_call_k,ic_short_put_k,ic_long_put_k,ic_credit,ic_debit_at_exit,ic_stopped,ic_pnl,ic_pnl_pct_of_credit,ic_max_loss
2025-11-03,SELL PUT,43.7599983215332,44.0,2026-05-15,193,48.61031380869489,4.25,-0.559999942779541,-13.176469241871558,-7.2941163006950855,4.300000190734863,0.5500001907348633,12.790701542756654,7.700000286102295,-0.3000001907348633,-3.8961062284157655,0.0,0.9444444444444444,Bull,44,4,3.0,6.0,,,,,,,,,,,,
2025-11-03,SHORT_VOL,43.7599983215332,44.0,2026-05-15,193,48.61031380869489,4.25,-0.559999942779541,-13.176469241871558,-7.2941163006950855,4.300000190734863,0.5500001907348633,12.790701542756654,7.700000286102295,-0.3000001907348633,-3.8961062284157655,0.0,0.9444444444444444,Bull,44,4,3.0,6.0,,,,,,,,,,,,
2025-11-04,BUY CALL,42.7400016784668,44.0,2026-05-15,192,28.09079867571243,3.4000000953674316,0.28999996185302734,8.529410403492577,8.529410403492577,4.300000190734863,0.5500001907348633,12.790701542756654,7.700000286102295,-0.3000001907348633,-3.8961062284157655,0.0,0.8015873015873016,Bull,43,3,4.0,7.0,,,,,,,,,,,,
2025-11-06,BUY CALL,43.54999923706055,44.0,2026-05-15,190,30.22054598187134,3.549999952316284,1.7599999904632568,49.57746518601787,49.57746518601787,3.75,0.7999999523162842,21.333332061767578,7.299999952316284,0.9600000381469727,13.150685539968604,13.150685539968604,0.8214285714285714,Bull,41,1,3.0,7.0,,,,,,,,,,,,
2025-11-07,BUY CALL,43.91999816894531,44.0,2026-05-15,189,30.542401833919286,3.700000047683716,3.419999837875366,92.43242685946353,92.43242685946353,3.009999990463257,0.309999942779541,10.299001453878084,7.359999895095825,2.4600000381469727,33.42391403818008,33.42391403818008,0.8373015873015873,Bull,40,0,3.0,7.0,,,,,,,,,,,,
2025-11-10,SHORT_VOL,45.790000915527344,46.0,2026-05-15,186,30.01235872356702,3.680000066757202,1.0199997425079346,27.71738380447242,68.47825263026546,4.150000095367432,-0.09999990463256836,-2.4096362008327756,7.830000162124634,1.119999647140503,14.303954328866785,14.303954328866785,0.8174603174603174,Bull,37,25,1.0,8.0,,,,,,,,,,,,
2025-11-11,SHORT_VOL,46.45000076293945,46.0,2026-05-15,185,30.182823070923842,4.199999809265137,0.5,11.904762445393624,47.61904978157452,,,,8.699999809265137,0.25,2.873563281389506,2.873563281389506,0.8214285714285714,Bull,36,24,1.0,6.0,,,,,,,,,,,,
2025-11-12,SHORT_VOL,48.31999969482422,48.0,2026-05-15,184,34.14127726505888,4.349999904632568,-0.7999999523162842,-18.390803904715437,19.770118445256514,4.510000228881836,-0.039999961853027344,-0.8869170692469018,8.860000133514404,0.3400001525878906,3.8374734476784513,9.593678237286975,0.8928571428571429,Bull,35,23,0.0,6.0,,,,,,,,,,,,
2025-11-14,SELL PUT,45.959999084472656,46.0,2026-05-15,182,40.39522682658052,4.5,0.5,11.111111111111116,11.111111111111116,4.199999809265137,0.06999969482421875,1.6666594762647484,8.699999809265137,4.76837158203125e-07,5.480886996058475e-06,2.873563281389506,0.9166666666666666,Bull,33,21,0.0,5.0,,,,,,,,,,,,
2025-11-17,SELL PUT,45.470001220703125,45.0,2026-05-15,179,40.82642487244502,5.070000171661377,-0.570000171661377,-11.24260655546674,5.5226769919307195,3.609999895095825,-0.3900001049041748,-10.803327319593246,8.680000066757202,-0.18000006675720215,-2.073733472037278,3.6866351472546475,0.9206349206349206,Bull,30,18,0.5,5.0,,,,,,,,,,,,
